"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"22556","NLA12_WY-125-2012-1","NLA12_WY-125",1,0,2012,9,6,19.6,8.965,7.475,9.055,"E",0
"22557","NLA12_WY-125-2012-1","NLA12_WY-125",1,1,2012,9,6,21.6,11.2,7.94,7,"E",0
"22558","NLA12_WY-125-2012-1","NLA12_WY-125",1,2,2012,9,6,21.6,11.21,7.99,7,"E",0
"22559","NLA12_WY-125-2012-1","NLA12_WY-125",1,3,2012,9,6,21.6,11.2,8.01,7,"E",0
"22560","NLA12_WY-125-2012-1","NLA12_WY-125",1,4,2012,9,6,21.6,11.18,7.88,7,"E",0
"22561","NLA12_WY-125-2012-1","NLA12_WY-125",1,5,2012,9,6,21.6,11.2,7.73,7,"E",0
"22562","NLA12_WY-125-2012-1","NLA12_WY-125",1,6,2012,9,6,21.6,10.96,7.42,7,"E",0
"22563","NLA12_WY-125-2012-1","NLA12_WY-125",1,7,2012,9,6,20.6,7.22,7.45,7,"E",0
"22564","NLA12_WY-125-2012-1","NLA12_WY-125",1,8,2012,9,6,19.6,6.26,7.51,7,"E",0
"22565","NLA12_WY-125-2012-1","NLA12_WY-125",1,9,2012,9,6,19.6,5.68,7.49,7,"E",0
"22566","NLA12_WY-125-2012-1","NLA12_WY-125",1,10,2012,9,6,18.6,5.24,7.42,7,"E",0
"22567","NLA12_WY-125-2012-1","NLA12_WY-125",1,11,2012,9,6,18.6,4.93,7.41,7,"E",0
"22568","NLA12_WY-125-2012-1","NLA12_WY-125",1,12,2012,9,6,18.6,4.66,7.21,7,"E",0
"22569","NLA12_WY-125-2012-1","NLA12_WY-125",1,13,2012,9,6,17.5,4.46,6.92,7,"E",0
"22570","NLA12_WY-125-2012-1","NLA12_WY-125",1,14,2012,9,6,16.5,4.32,6.72,8,"E",0
"22571","NLA12_WY-125-2012-1","NLA12_WY-125",1,15,2012,9,6,15.5,4.21,6.46,8,"E",0
"22572","NLA12_WY-125-2012-1","NLA12_WY-125",1,16,2012,9,6,15.5,4.16,6.31,8,"E",0
"22573","NLA12_WY-125-2012-1","NLA12_WY-125",1,17,2012,9,6,15.5,4.13,6.2,8,"E",0
"22574","NLA12_WY-125-2012-1","NLA12_WY-125",1,18,2012,9,6,15.5,4.12,6.13,8,"E",0
"22575","NLA12_WY-125-2012-1","NLA12_WY-125",1,19,2012,9,6,15.5,4.11,5.42,8,"E",0
"22576","NLA12_WY-125-2012-1","NLA12_WY-125",1,20,2012,9,6,15.5,4.11,5.49,10,"E",0
"22577","NLA12_WY-125-2012-1","NLA12_WY-125",1,22,2012,9,6,15.5,4.13,5.63,14,"E",0
"22578","NLA12_WY-125-2012-1","NLA12_WY-125",1,24,2012,9,6,15.5,4.14,5.68,14,"E",0
"22579","NLA12_WY-125-2012-1","NLA12_WY-125",1,26,2012,9,6,15.5,4.14,5.72,15,"E",0
"22580","NLA12_WY-125-2012-1","NLA12_WY-125",1,26.3,2012,9,6,16.5,4.15,5.76,16,"E",0
