"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"22648","NLA12_WY-R08-2012-1","NLA12_WY-R08",1,0,2012,8,21,14.55,6.91,7.755,17.16,"E",0
"22649","NLA12_WY-R08-2012-1","NLA12_WY-R08",1,1,2012,8,21,14.6,6.9,7.8,17.12,"E",0
"22650","NLA12_WY-R08-2012-1","NLA12_WY-R08",1,2,2012,8,21,14.6,6.9,7.7,17.11,"E",0
"22651","NLA12_WY-R08-2012-1","NLA12_WY-R08",1,3,2012,8,21,14.6,6.9,7.6,17.09,"E",0
"22652","NLA12_WY-R08-2012-1","NLA12_WY-R08",1,4,2012,8,21,14.5,6.8,7.5,17.17,"E",0
"22653","NLA12_WY-R08-2012-1","NLA12_WY-R08",1,5,2012,8,21,14.4,6.7,7.4,17.19,"M",0
"22654","NLA12_WY-R08-2012-1","NLA12_WY-R08",1,6,2012,8,21,10.4,6.6,7,17.61,"M",0
"22655","NLA12_WY-R08-2012-1","NLA12_WY-R08",1,7,2012,8,21,8.6,2.07,6.4,19.32,"M",0
"22656","NLA12_WY-R08-2012-1","NLA12_WY-R08",1,8,2012,8,21,7.6,0.4,6.2,20.06,"M",0
"22657","NLA12_WY-R08-2012-1","NLA12_WY-R08",1,9,2012,8,21,7,0,6.1,21.32,"H",0
"22658","NLA12_WY-R08-2012-1","NLA12_WY-R08",1,9.1,2012,8,21,7,0,6.1,22.3,"H",0
