"","x"
"NLA06608-0006",52.1779017785836
"NLA06608-0010",96.0537438135602
"NLA06608-0064",85.0173925093861
"NLA06608-0065",56.5956957620103
"NLA06608-0086",99.8183254972238
"NLA06608-0099",43.538151407736
"NLA06608-0102",40.0134148669557
"NLA06608-0113",86.0744032055865
"NLA06608-0115",74.064445879151
"NLA06608-0134",57.7947208630377
"NLA06608-0142",95.7510975843059
"NLA06608-0150",99.2315712972513
"NLA06608-0155",98.4329060177891
"NLA06608-0177",41.4482382444059
"NLA06608-0219",95.9975204409743
"NLA06608-0235",91.6997225985379
"NLA06608-0286",94.7224786792893
"NLA06608-0295",21.8220072440719
"NLA06608-0350",97.587086859615
"NLA06608-0363",96.8530549625068
"NLA06608-0401",49.0369996500495
"NLA06608-0433",19.7952583668757
"NLA06608-0445",100
"NLA06608-0467",97.6456135695878
"NLA06608-0514",44.144765805331
"NLA06608-0551",95.006463264243
"NLA06608-0614",79.3856759904315
"NLA06608-0635",91.7245948708927
"NLA06608-0641",99.9169213918077
"NLA06608-0765",89.4069256986971
"NLA06608-0870",3.21696385173505
"NLA06608-0906",12.6886855911647
"NLA06608-0914",92.2712710372178
"NLA06608-0918",59.7987530305387
"NLA06608-0938",34.0479964679856
"NLA06608-0942",47.9667545000726
"NLA06608-0958",99.1985567471623
"NLA06608-0962",18.1328604379464
"NLA06608-0970",22.5992377110953
"NLA06608-0982",38.353976925175
"NLA06608-0994",68.1110184346813
"NLA06608-1034",88.7801789262064
"NLA06608-1045",13.8867742160634
"NLA06608-1130",96.8592842084472
"NLA06608-1145",96.0039889028649
"NLA06608-1162",96.109561630217
"NLA06608-1174",40.1584543352567
"NLA06608-1190",42.0701227935788
"NLA06608-1223",41.6221814780489
"NLA06608-1238",52.3450140372136
"NLA06608-1334",96.8814833523732
"NLA06608-1354",60.3543529808626
"NLA06608-1377",32.3910909336384
"NLA06608-1383",100
"NLA06608-1390",100
"NLA06608-1447",95.8241570549789
"NLA06608-1450",97.2446178263742
"NLA06608-1465",61.9149518350335
"NLA06608-1483",93.6979436412319
"NLA06608-1579",72.7579596752255
"NLA06608-1626",57.3793641946649
"NLA06608-1637",96.8049854508874
"NLA06608-1755",96.7707637103195
"NLA06608-1771",96.1109411901996
"NLA06608-1810",41.6348282124733
"NLA06608-1835",92.2748440336313
"NLA06608-1857",57.0470066318524
"NLA06608-1874",45.1787557115692
"NLA06608-2082",51.753279440958
"NLA06608-2241",99.4206568904187
"NLA06608-2305",99.7513303210145
"NLA06608-2513",99.2634606675134
"NLA06608-2800",17.9567160061403
"NLA06608-2833",99.8582992038283
"NLA06608-2881",30.1615105671585
"NLA06608-3147",96.7112323020185
"NLA06608-3160",64.2797272012528
"NLA06608-4252",81.6897371850835
"NLA06608-NELP-0955",24.5848452998232
"NLA06608-NELP-3586",29.1714890515222
"NLA06608-NH4912",13.3783992273022
"NLA12_CA-116",-9.23470951421275
"NLA12_CA-132",2.79896606860171
"NLA12_CA-R10",96.5971235336491
"NLA12_CT-118",96.0046621963633
"NLA12_ID-145",9.58010908703154
"NLA12_ID-148",31.4597588256682
"NLA12_ID-149",93.8756032333721
"NLA12_ID-165",99.7144262579369
"NLA12_ID-168",15.2951755424604
"NLA12_ID-175",40.0646343744017
"NLA12_ID-205",84.9294520634314
"NLA12_ID-209",3.76879660908319
"NLA12_ID-215",21.5251519568886
"NLA12_ID-218",24.2538214700724
"NLA12_IL-114",99.2190279221751
"NLA12_IN-134",97.0487333561693
"NLA12_IN-144",97.9779567099306
"NLA12_IN-145",28.3657869492899
"NLA12_IN-172",86.3540035634418
"NLA12_IN-186",52.8136010201125
"NLA12_IN-196",96.773868565471
"NLA12_MA-110",97.6174167950671
"NLA12_ME-114",55.5310830038868
"NLA12_ME-118",99.2321858594099
"NLA12_ME-120",99.2199060673188
"NLA12_ME-121",87.171777867506
"NLA12_MI-122",-0.637390504586087
"NLA12_MI-123",96.4982114964043
"NLA12_MI-128",97.6481205768937
"NLA12_MI-129",97.6211967472059
"NLA12_MI-135",96.0949809781709
"NLA12_MI-136",98.4226415711944
"NLA12_MI-137",96.7778397781811
"NLA12_MI-139",95.2365926129397
"NLA12_MI-141",46.7374380104724
"NLA12_MI-145",96.8182967874245
"NLA12_MI-148",96.7389565695603
"NLA12_MI-152",96.8888405879727
"NLA12_MI-155",89.7390966152899
"NLA12_MI-162",97.5167714094951
"NLA12_MI-168",96.857133998071
"NLA12_MI-172",92.9181532846543
"NLA12_MN-132",99.8052985332446
"NLA12_MN-157",99.4404835855771
"NLA12_MN-162",100
"NLA12_MN-R14",100
"NLA12_MT-135",47.8351703192532
"NLA12_MT-136",13.8851690545297
"NLA12_MT-143",8.70126519444815
"NLA12_MT-152",22.4319489751601
"NLA12_MT-156",42.422501788403
"NLA12_MT-162",13.4457186240065
"NLA12_MT-164",29.9002126817789
"NLA12_ND-131",78.6984365663472
"NLA12_ND-134",62.3419205379034
"NLA12_ND-178",35.6256312422407
"NLA12_ND-R17",78.1466129041818
"NLA12_NE-157",97.6062562133429
"NLA12_NH-109",32.6186279196577
"NLA12_NV-137",97.2420595381349
"NLA12_NY-0109",100
"NLA12_OH-R03",86.492791177526
"NLA12_OR-126",68.1076207070986
"NLA12_OR-129",99.171062527509
"NLA12_OR-133",98.4368148849815
"NLA12_OR-155",87.2671931025402
"NLA12_OR-169",25.9837348346201
"NLA12_PA-108",87.790305885542
"NLA12_PA-114",95.9507522493756
"NLA12_PA-119",84.0589350532342
"NLA12_PA-R10",51.8456287501623
"NLA12_UT-110",25.5027175856473
"NLA12_UT-122",78.3952359726176
"NLA12_UT-203",8.76764875122274
"NLA12_UT-324",81.4153348947805
"NLA12_UT-325",97.0074679220434
"NLA12_UT-400",100
"NLA12_VT-110",84.026000616253
"NLA12_VT-115",100
"NLA12_WA-115",99.5580446384841
"NLA12_WA-116",98.9581248173459
"NLA12_WA-118",15.5869866798869
"NLA12_WA-121",86.3180113838573
"NLA12_WA-124",99.5879130898605
"NLA12_WA-126",84.4423229052361
"NLA12_WA-129",0.419908949312563
"NLA12_WA-131",99.7492020066876
"NLA12_WA-138",99.8767270764198
"NLA12_WA-146",28.1973244796967
"NLA12_WA-R09",38.9288141254679
"NLA12_WI-113",89.0782502482673
"NLA12_WI-133",97.6493281435533
"NLA12_WI-151",97.596448497088
"NLA12_WI-152",97.6328570923948
"NLA12_WI-154",97.5653488584075
"NLA12_WI-161",38.5368572471169
"NLA12_WI-171",96.8420597309414
"NLA12_WI-174",96.7615614725597
"NLA12_WI-176",95.9231065930525
"NLA12_WI-181",97.6508297124856
"NLA12_WY-125",52.8685485662666
"NLA12_WY-151",69.7638353013645
"NLA12_WY-R08",95.496024312106
