"","siteid_07","sampling_event","visit_no","day","month","year","lat","lon","state","EPA_reg","ECO9","HUC2","HUC8","lake_origin","area_km2","perim_km","elevation_m","depthmax_m","SLD","WGT","secchi_m","clear_to_bottom","basinarea_km2","pct_forest","pct_agric","chla_ugL","color_PCU","NTL_ugL","PTL_ugL","NA_mgL","DOC_mgL","cond_uScm","turb_NTU","nutrient_color","siteid_12","UID","WALA_ratio","site_id","sampled_depthmax_m","resampled","Julian.day","precip_5","avgtemp_5","mintemp_5","maxtemp_5","precip_4","avgtemp_4","mintemp_4","maxtemp_4","precip_3","avgtemp_3","mintemp_3","maxtemp_3","precip_2","avgtemp_2","mintemp_2","maxtemp_2","precip_1","avgtemp_1","mintemp_1","maxtemp_1","RelO207","VolT07","SedArea","VoltoSedArea","HypoThick","hypox07","anox07"
"1","NLA06608-0001","NLA06608-0001-2007-1",1,31,7,2007,48.97902855,-114.0218399,"MT","region_8","WMT",10,10010001,"natural",0.662930555,3.178509805,1605.73,8.3,1.10124666251397,7.59453197,6.4,0,3.757720078,41.9,0,0.24,6,151,6,0.252,0.63,96.28,0.474,"blue",NA,NA,5.66834648012264,"NLA06608-0001",8,0,212,50.7762933333333,11.942962962963,4.51444444444444,19.3477777777778,55.8419,13.9518518518519,6.35601851851852,21.5050925925926,58.1039111111111,16.816049382716,8.87098765432099,24.7055555555556,36.5506,19.5611111111111,11.2611111111111,27.8055555555556,21.082,22.9444444444444,14,31.8333333333333,0.179180753279213,10.7,10359.8605991171,0.333282796062518,1,"0","0"
"15","NLA06608-0006","NLA06608-0006-2007-1",1,17,7,2007,41.68314624,-73.1465177,"CT","region_1","NAP",1,1100005,"man-made",0.561997482,5.836994717,198.75,25.3,2.19642907171765,19.57749882,3.21,0,23.08342257,68.3,18.6,4.08,2,184,7,4.155,3.16,74.74,0.901,"blue","NLA12_CT-103",NA,41.0738896691356,"NLA06608-0006",24,1,198,116.858626666667,10.8862962962963,4.6637037037037,17.0974074074074,120.3198,13.7782407407407,7.42175925925926,20.1291666666667,99.1446666666667,16.7191358024691,10.2141975308642,23.2240740740741,90.8558,19.0564814814815,12.6324074074074,25.4805555555556,110.066666666667,20.5759259259259,14.4944444444444,26.6574074074074,41.0984855624165,6.94300537109375,250178.459350033,5.32476769989102,16,"1","0"
"19","NLA06608-0007","NLA06608-0007-2007-1",1,24,7,2007,45.58064546,-92.04001797,"WI","region_5","UMW",7,7050007,"natural",0.254747633,3.02298601,390.86,19.2,1.68956975492929,159.855637,3.15,0,9.127280415,63.8,10.3,2.432,10,493,8,0.606,6.68,26.65,1.05,"blue",NA,NA,35.8287152956589,"NLA06608-0007",18.5,0,205,66.7495066666667,11.5203703703704,4.99592592592593,18.047037037037,69.89445,14.4634259259259,7.72453703703704,21.2050925925926,72.4633777777778,17.5376543209877,10.6172839506173,24.4462962962963,75.7174,19.5333333333333,12.6388888888889,26.4055555555556,77.3684,20.5444444444444,13.7333333333333,27.3111111111111,44.7019168110581,5.36605118237771,82235.6028774804,3.49263709652264,10.5,"1","0"
"23","NLA06608-0010","NLA06608-0010-2007-1",1,17,7,2007,42.61823014,-83.50588771,"MI","region_5","UMW",4,4090005,"natural",0.300373324,2.423467747,284.65,11.8,1.2473882015211,81.58117426,4.48,0,2.93251514,20.8,3.2,4.384,4,473,10,63.93,4.94,650.1,3.05,"blue","NLA12_MI-117",NA,9.76290138201487,"NLA06608-0010",11.8,1,198,61.7660266666667,9.85481481481481,3.40148148148148,16.2796296296296,64.87795,12.9277777777778,6.17962962962963,19.6490740740741,62.7634,15.9407407407407,8.89506172839506,22.9691358024691,61.3029,18.5222222222222,11.3425925925926,25.6703703703704,58.7502,19.7833333333333,12.7259259259259,26.7851851851852,97.7015358343452,9.43854595336077,6994.5271274894,0.599563584920251,1.8,"1","1"
"52","NLA06608-0021","NLA06608-0021-2007-1",1,27,7,2007,42.77191973,-77.3095481,"NY","region_2","NAP",4,4140201,"natural",42.26925272,56.14938354,209.55,53,2.43628322860069,8.418311244,7.1,0,241.6641707,26.3,39.1,2.292,4,390,7,18.82,2.92,366.8,0.574,"blue",NA,NA,5.7172567563669,"NLA06608-0021",26,0,208,91.06408,10.75,4.39296296296296,17.0855555555556,90.7901833333333,13.7523148148148,7.30925925925926,20.1819444444444,80.1031333333333,16.7685185185185,9.91975308641975,23.6006172839506,93.2307,18.7083333333333,12.1333333333333,25.2583333333333,115.062,19.2222222222222,13.0777777777778,25.3166666666667,9.32778587661058,9.15680473372781,10567578.6412449,4.33322447849531,13,"0","0"
"77","NLA06608-0037","NLA06608-0037-2007-1",1,13,7,2007,41.69699293,-73.36398551,"CT","region_1","NAP",1,1100005,"natural",2.36955581,14.01149575,211.27,13,2.56771073249018,21.55717344,2.9,0,37.25673266,69,12.1,8.016,7,239,14,5.489,3.38,98.02,2.59,"blue",NA,NA,15.7230872143923,"NLA06608-0037",13,0,194,114.87404,10.1811111111111,3.99111111111111,16.3596296296296,120.5738,13.1152777777778,6.74583333333333,19.4773148148148,103.242533333333,16.0746913580247,9.57962962962963,22.5697530864198,85.6742,18.637962962963,12.1175925925926,25.1583333333333,105.325333333333,20.2574074074074,14.1166666666667,26.3981481481482,97.652907857025,10.4111111111111,126203.499037849,0.999887987454908,3,"1","1"
"80","NLA06608-0038","NLA06608-0038-2007-1",1,12,7,2007,44.79759122,-71.86971736,"VT","region_1","NAP",1,1110000,"natural",2.206478779,7.974503403,358.73,11.3,1.51442872393424,35.04559536,4.45,0,25.86530737,74.3,1.8,4.328,10,158,4,2.7,3.27,59.7,0.549,"blue",NA,NA,11.7224364975413,"NLA06608-0038",11,0,193,97.4919733333333,6.22259259259259,-0.0181481481481483,12.4585185185185,102.421266666667,9.60231481481481,3.25138888888889,15.9472222222222,100.4062,12.916049382716,6.37469135802469,19.4413580246914,96.7994,15.7555555555556,8.98888888888889,22.4944444444444,112.0648,17.5444444444444,11.1444444444444,23.9222222222222,51.4277619787878,9.3,18236.9325385957,0.333304623668207,1,"0","0"
"86","NLA06608-0042","NLA06608-0042-2007-1",1,22,6,2007,44.45823517,-107.0403753,"WY","region_8","WMT",10,10090206,"man-made",0.777184868,4.314419055,2626,13.6,1.38055980668615,9.832508096,3.38,0,87.79963746,51,0,2.432,8,246,17,0.891,4.76,21.54,0.712,"blue",NA,NA,112.971367656633,"NLA06608-0042",13,0,173,33.96996,4.93740740740741,-2.29037037037037,12.1725925925926,37.0861166666667,7.47916666666667,-0.0564814814814818,15.0175925925926,38.3737555555556,9.40925925925926,1.6320987654321,17.1716049382716,41.6983333333333,11.9407407407407,3.80277777777778,20.05,34.6117333333333,14.6444444444444,6.06296296296296,23.2111111111111,8.10860465534004,8.4015625,294419.043694987,2.66575627445621,8,"0","0"
"89","NLA06608-0043","NLA06608-0043-2007-1",1,31,7,2007,41.553395,-85.44424168,"IN","region_5","UMW",4,4050001,"natural",0.242471918,2.957443479,273.03,16.5,1.69426288614436,10.83110054,1.85,0,150.9026147,5.3,59.4,5.409,16,645,9,7.197,7.22,438.1,3.74,"blue",NA,NA,622.350893021764,"NLA06608-0043",16,0,212,80.35544,16.4522222222222,9.95296296296296,22.9522222222222,77.7070666666667,18.4597222222222,11.850462962963,25.0819444444444,69.8274222222222,21.1833333333333,14.4314814814815,27.933950617284,81.8684333333333,22.2203703703704,15.6666666666667,28.7453703703704,80.518,22.1666666666667,15.6666666666667,28.6111111111111,99.2534063823681,7.133984375,60718.4272408556,2.66225514524799,8,"1","1"
"121","NLA06608-0065","NLA06608-0065-2007-1",1,17,7,2007,48.96243381,-115.116608,"MT","region_8","WMT",17,17010101,"natural",0.895225888,7.365625253,766.43,17.1,2.19603051631502,7.59453197,7.02,0,32.895357,24.3,0.3,0.544,0,70,1,0.776,1.32,197.1,0.253,"blue","NLA12_MT-105",NA,36.7453147199425,"NLA06608-0065",16.6,1,198,52.0429066666667,9.47074074074074,2.37074074074074,16.5492592592593,57.0822666666667,11.7407407407407,4.40231481481482,19.0486111111111,63.1387555555555,14.1543209876543,6.57345679012346,21.687037037037,54.8047333333333,16.8925925925926,8.98796296296296,24.7416666666667,34.9504,19.9111111111111,11.5444444444444,28.2222222222222,37.1796592097384,11.1075910621365,141584.010784645,2.19893705384871,6.6,"1","1"
"164","NLA06608-0081","NLA06608-0081-2007-1",1,3,7,2007,48.22612028,-122.1241675,"WA","region_10","WMT",17,17110008,"natural",0.100070393,1.610517764,42.78,8.5,1.43617639622213,32.54937288,5.74,0,1.272035634,77.9,0,6.664,38,741,22,2.619,9.05,61.72,0.73,"brown",NA,NA,12.7114083982862,"NLA06608-0081",8,0,184,74.4744933333333,8.49148148148148,2.86333333333333,14.0959259259259,63.1317,9.97777777777778,3.85462962962963,16.0736111111111,43.1743555555556,11.4604938271605,4.98148148148148,17.9216049382716,38.9128,13.3111111111111,6.56666666666667,20.0527777777778,41.0972,14.7555555555556,8.25555555555556,21.25,94.6951180419423,6.67407407407407,14086.5290885745,0.998996908829657,3,"1","1"
