"","siteid_07","sampling_event","visit_no","day","month","year","lat","lon","state","EPA_reg","ECO9","HUC2","HUC8","lake_origin","area_km2","perim_km","elevation_m","depthmax_m","SLD","WGT","secchi_m","clear_to_bottom","basinarea_km2","pct_forest","pct_agric","chla_ugL","color_PCU","NTL_ugL","PTL_ugL","NA_mgL","DOC_mgL","cond_uScm","turb_NTU","nutrient_color","siteid_12","UID","WALA_ratio","site_id","sampled_depthmax_m","resampled","Julian.day","precip_5","avgtemp_5","mintemp_5","maxtemp_5","precip_4","avgtemp_4","mintemp_4","maxtemp_4","precip_3","avgtemp_3","mintemp_3","maxtemp_3","precip_2","avgtemp_2","mintemp_2","maxtemp_2","precip_1","avgtemp_1","mintemp_1","maxtemp_1","RelO212","VolT12","SedArea","VoltoSedArea","HypoThick"
"15","NLA06608-0006","NLA06608-0006-2007-1",1,17,7,2007,41.68314624,-73.1465177,"CT","region_1","NAP",1,1100005,"man-made",0.561997482,5.836994717,198.75,25.3,2.19642907171765,19.57749882,3.21,0,23.08342257,68.3,18.6,4.08,2,184,7,4.155,3.16,74.74,0.901,"blue","NLA12_CT-103",NA,41.0738896691356,"NLA06608-0006",24,1,198,116.858626666667,10.8862962962963,4.6637037037037,17.0974074074074,120.3198,13.7782407407407,7.42175925925926,20.1291666666667,99.1446666666667,16.7191358024691,10.2141975308642,23.2240740740741,90.8558,19.0564814814815,12.6324074074074,25.4805555555556,110.066666666667,20.5759259259259,14.4944444444444,26.6574074074074,52.1779017785836,8.23442962962963,239388.014115894,4.99262351801554,15
"23","NLA06608-0010","NLA06608-0010-2007-1",1,17,7,2007,42.61823014,-83.50588771,"MI","region_5","UMW",4,4090005,"natural",0.300373324,2.423467747,284.65,11.8,1.2473882015211,81.58117426,4.48,0,2.93251514,20.8,3.2,4.384,4,473,10,63.93,4.94,650.1,3.05,"blue","NLA12_MI-117",NA,9.76290138201487,"NLA06608-0010",11.8,1,198,61.7660266666667,9.85481481481481,3.40148148148148,16.2796296296296,64.87795,12.9277777777778,6.17962962962963,19.6490740740741,62.7634,15.9407407407407,8.89506172839506,22.9691358024691,61.3029,18.5222222222222,11.3425925925926,25.6703703703704,58.7502,19.7833333333333,12.7259259259259,26.7851851851852,96.0537438135602,12.2981481481481,4159.67758084563,0.39978254740501,1.2
"117","NLA06608-0064","NLA06608-0064-2007-1",1,18,6,2007,48.8940613,-112.1680165,"MT","region_8","NPL",10,10050002,"natural",0.252077914,2.061268745,1208,2.5,1.15814327033452,5.441933591,0.46,0,14.74669434,0,72,19.04,24,3366,2047,230.9,33.65,2504,13.6,"murky","NLA12_MT-108",NA,58.500540987498,"NLA06608-0064",2,1,169,50.95748,4.51185185185185,-2.00518518518519,11.0118518518519,56.45785,7.03981481481481,0.235185185185185,13.8314814814815,64.7220222222222,9.15185185185185,2.14691358024691,16.1333333333333,77.3641666666667,11.4592592592593,4.25277777777778,18.6203703703704,72.9996,14.0333333333333,6.57777777777778,21.4333333333333,85.0173925093861,16.8,3939.11008575716,0.166650052105738,0.5
"121","NLA06608-0065","NLA06608-0065-2007-1",1,17,7,2007,48.96243381,-115.116608,"MT","region_8","WMT",17,17010101,"natural",0.895225888,7.365625253,766.43,17.1,2.19603051631502,7.59453197,7.02,0,32.895357,24.3,0.3,0.544,0,70,1,0.776,1.32,197.1,0.253,"blue","NLA12_MT-105",NA,36.7453147199425,"NLA06608-0065",16.6,1,198,52.0429066666667,9.47074074074074,2.37074074074074,16.5492592592593,57.0822666666667,11.7407407407407,4.40231481481482,19.0486111111111,63.1387555555555,14.1543209876543,6.57345679012346,21.687037037037,54.8047333333333,16.8925925925926,8.98796296296296,24.7416666666667,34.9504,19.9111111111111,11.5444444444444,28.2222222222222,56.5956957620103,8.7566,223963.496547792,3.33099627766411,10
"175","NLA06608-0086","NLA06608-0086-2007-1",1,2,8,2007,45.61657075,-122.4260347,"WA","region_10","WMT",17,17080001,"natural",1.013087296,8.99529581,55.6,14.2,2.52108264625013,8.741017273,2.07,0,153.7658083,35.5,21.9,18.24,8,288,20,4.327,2.56,110,4.01,"blue","NLA12_WA-107",NA,151.779426024902,"NLA06608-0086",13.7,1,214,55.76824,11.9577777777778,5.56222222222222,18.3211111111111,38.9593666666667,13.5648148148148,6.83425925925926,20.2689814814815,34.7133333333333,15.5,8.50864197530864,22.4722222222222,33.7058,17.3166666666667,10.3240740740741,24.2805555555556,26.3144,19.8777777777778,12.3925925925926,27.3111111111111,99.8183254972238,11.5934308303921,381202.877105216,3.69812197604056,11.1
"187","NLA06608-0099","NLA06608-0099-2007-1",1,3,7,2007,43.09951588,-88.45255303,"WI","region_5","TPL",7,7090001,"natural",3.147521338,11.02083828,262.37,18.8,1.75236817008784,7.527925891,1.95,0,230.9719441,23.9,47,4.6,9,601,6,19.2,5.69,557.8,4.98,"blue","NLA12_WI-102",NA,73.3821694269321,"NLA06608-0099",18.5,1,184,59.8153066666667,7.02481481481481,0.757037037037037,13.3025925925926,66.4718,11.0703703703704,4.50648148148148,17.6467592592593,69.0259111111111,14.0765432098765,7.27283950617284,20.8944444444444,71.8058,17.5111111111111,10.5,24.5194444444444,76.1238,19.5333333333333,12.6055555555556,26.4555555555556,43.538151407736,9.51050599318299,606089.400484835,2.8661172325008,8.6
"192","NLA06608-0102","NLA06608-0102-2007-1",1,3,8,2007,44.50713663,-70.72328312,"ME","region_1","NAP",1,1040002,"natural",0.515524684,3.989089402,330.37,36.3,1.5672710274337,61.84915074,4.37,0,9.556730331,87,0.4,1.2,16,137,1,0.824,3.67,20.01,0.515,"blue","NLA12_ME-106",NA,18.5378714688277,"NLA06608-0102",32,1,215,103.527013333333,9.51222222222222,3.35666666666667,15.6544444444444,100.643266666667,12.4921296296296,6.24444444444444,18.7138888888889,83.9554666666667,15.291975308642,8.81049382716049,21.7543209876543,85.5472,17.237962962963,10.937962962963,23.5092592592593,91.8972,18.05,11.9388888888889,24.1111111111111,40.0134148669557,6.99752206918907,318387.748998925,8.47277514132672,25.5
"206","NLA06608-0113","NLA06608-0113-2007-1",1,16,7,2007,44.71864202,-72.23412171,"VT","region_1","NAP",1,1110000,"natural",0.833522645,4.253680284,396.91,13.1,1.31432028467065,31.82722929,2.3,0,21.98941925,66,19.9,4.688,7,190,9,1.047,3.76,129.7,1.83,"blue","NLA12_VT-102",NA,26.3813099522929,"NLA06608-0113",12.5,1,197,99.6662133333333,6.99,0.731481481481482,13.2422222222222,104.300866666667,10.3208333333333,3.98101851851852,16.6527777777778,101.139977777778,13.5555555555556,6.97222222222222,20.1179012345679,101.506866666667,16.1740740740741,9.5037037037037,22.8166666666667,119.955733333333,17.6703703703704,11.3592592592593,23.9518518518519,86.0744032055865,10.092915451895,77226.4413794781,1.16637600843751,3.5
"208","NLA06608-0115","NLA06608-0115-2007-1",1,18,7,2007,44.32355428,-89.19099056,"WI","region_5","UMW",4,4030202,"natural",0.067371558,0.987715321,271.25,17,1.07346666610281,724.8867084,2.6,0,0.186886143,61,0,1.352,2,540,5,1.803,2.65,324.2,0.616,"blue","NLA12_WI-110",NA,2.77396201821546,"NLA06608-0115",16.5,1,199,64.7683066666667,10.2359259259259,3.78481481481481,16.6914814814815,68.91655,13.4939814814815,6.80509259259259,20.1884259259259,71.4812444444444,16.5487654320988,9.66172839506173,23.4314814814815,74.5998,18.9555555555556,12.0277777777778,25.8666666666667,77.0128,20.2555555555556,13.4111111111111,27.0666666666667,74.064445879151,9.16513899323817,8530.17146593266,1.82314935066764,5.5
"228","NLA06608-0134","NLA06608-0134-2007-1",1,24,7,2007,41.88000298,-73.04056323,"CT","region_1","NAP",1,1080207,"natural",0.999845728,5.007655389,285.96,19.8,1.41274248174257,19.57749882,7.6,0,2.959068286,52.8,1.2,1.576,0,156,4,3.731,2.21,57.55,0.468,"blue","NLA12_CT-102",NA,2.95952485781887,"NLA06608-0134",19.5,1,205,120.331653333333,12.1203703703704,5.84074074074074,18.3885185185185,119.8753,14.9384259259259,8.60462962962963,21.2699074074074,91.9734,17.8469135802469,11.3246913580247,24.3691358024691,99.9236,19.7888888888889,13.5333333333333,26.0444444444444,118.364,21.1333333333333,15.1555555555556,27.1111111111111,57.7947208630377,9.26552004884999,190090.718083764,2.83164225071685,8.5
