SITE_ID	YEAR	VISIT_NO	MONTH	DAY	CLEAR_TO_BOTTOM	SECCHI
NLA12_CA-143	2012	1	5	2		4.835
NLA12_AZ-101	2012	1	5	8		2.85
NLA12_ND-115	2012	1	5	16		2.2
NLA12_AZ-118	2012	1	5	9		1.55
NLA12_UT-103	2012	1	5	9		2.3
NLA12_AZ-130	2012	1	5	10		1.85
NLA12_FL-101	2012	1	5	14		0.225
NLA12_UT-101	2012	1	5	15	Y	
NLA12_ND-112	2012	1	5	15		2.55
NLA12_FL-123	2012	1	5	15		5.35
NLA12_FL-102	2012	1	5	16		0.475
NLA12_GA-112	2012	1	5	16		2.345
NLA12_UT-108	2012	1	5	17		2.25
NLA12_FL-107	2012	1	5	17		5.7
NLA12_FL-110	2012	1	5	18		1.575
NLA12_FL-106	2012	1	5	20		0.725
NLA12_FL-104	2012	1	5	19		0.75
NLA12_CA-168	2012	1	5	21		0.805
NLA12_OK-122	2012	1	5	21		0.135
NLA12_WI-R11	2012	1	5	21	Y	1.5
NLA12_KS-114	2012	1	5	22		0.775
NLA12_OK-R01	2012	1	5	22		0.85
NLA12_CA-106	2012	1	5	22		0.31
NLA12_FL-114	2012	1	5	21		1.5
NLA12_PA-102	2012	1	9	5		0.85
NLA12_WI-R08	2012	1	5	22		1.83
NLA12_AL-105	2012	1	5	23		0.425
NLA12_OK-118	2012	1	5	23		0.605
NLA12_CA-172	2012	1	5	23		12.3
NLA12_AZ-127	2012	1	5	23		0.29
NLA12_KY-101	2012	1	5	24		3.15
NLA12_KY-107	2012	1	5	23		1.1
NLA12_NC-107	2012	1	5	23		2.45
NLA12_GA-101	2012	1	5	24		1.75
NLA12_AL-101	2012	1	5	24		2.55
NLA12_OK-R09	2012	1	5	23		0.29
NLA12_KY-103	2012	1	5	25		2.55
NLA12_OK-293	2012	1	5	29		28
NLA12_NM-132	2012	1	5	28		0.1
NLA12_SC-105	2012	1	5	27		0.85
NLA12_SC-112	2012	1	5	26	Y	
NLA12_SC-108	2012	1	5	28		1.05
NLA12_NM-152	2012	1	5	29		0.2
NLA12_CO-110	2012	1	5	29		0.62
NLA12_ND-101	2012	1	5	30		1.425
NLA12_KY-104	2012	1	5	30		0.15
NLA12_KS-130	2012	1	5	30		0.95
NLA12_PA-108	2012	1	5	30		3.375
NLA12_NC-105	2012	1	5	30		4.65
NLA12_NM-105	2012	1	5	30		0.3
NLA12_SD-101	2012	1	5	31		1.75
NLA12_NM-104	2012	1	6	1		2.6
NLA12_KY-120	2012	1	5	31		0.2
NLA12_KY-122	2012	1	6	3		0.65
NLA12_TN-114	2012	1	5	31		0.55
NLA12_TN-113	2012	1	6	1		0.6
NLA12_TN-108	2012	1	5	29		0.3
NLA12_KY-102	2012	1	6	1		1.35
NLA12_SC-106	2012	1	6	1		1.35
NLA12_NC-109	2012	1	6	4		3.5
NLA12_NC-101	2012	1	6	3		1.2
NLA12_NC-108	2012	1	6	2		3.125
NLA12_SD-138	2012	1	6	4		3.075
NLA12_NM-117	2012	1	6	3		3.8
NLA12_KS-108	2012	1	6	4		0.185
NLA12_KY-114	2012	1	6	4		1.4
NLA12_NM-133	2012	1	6	4	Y	1.37
NLA12_MS-107	2012	1	6	4		0.225
NLA12_MS-106	2012	1	6	2		0.95
NLA12_IA-107	2012	1	6	4		0.165
NLA12_SD-130	2012	1	6	5		0.45
NLA12_KS-109	2012	1	6	5		1.225
NLA12_SD-182	2012	1	6	5		4.75
NLA12_VA-109	2012	1	6	5	Y	1.3
NLA12_MT-113	2012	1	6	5	Y	
NLA12_KY-117	2012	1	6	5		1.2
NLA12_KS-103	2012	1	6	6		1.23
NLA12_VA-116	2012	1	6	6		1.53
NLA12_SD-166	2012	1	6	4	Y	
NLA12_SC-103	2012	1	6	5		7.35
NLA12_SD-104	2012	1	6	6		4
NLA12_SD-122	2012	1	6	6		0.325
NLA12_UT-112	2012	1	6	5		0.95
NLA12_UT-128	2012	1	6	6		0.375
NLA12_PA-107	2012	1	6	6		0.885
NLA12_KS-R02	2012	1	6	7		0.7
NLA12_MO-109	2012	1	6	5		0.765
NLA12_IA-132	2012	1	6	7		0.31
