SITE_ID	VISIT_NO	MONTH	DAY	YEAR	SITE_TYPE	LAKE_SAMP	TNT	LON_DD	LAT_DD	FLD_LON_DD	FLD_LAT_DD	FLD_SRC	ST	EPA_REG	NESLAKE	NESLAKE_ID	STRATUM	PANEL	MDCATY	WGT	WGT_NLA	ADJWGT_CAT	URBAN	WSA_ECO3	WSA_ECO9	ECO_LEV_3	NUT_REG	ECO_NUTA	LAKE_ORIGIN	ECO3_X_ORIGIN	REF_CLUSTER	RT_NLA	REF_NUTR	AREA_HA	LAKEAREA	LAKEPERIM	SLD	DEPTH_X	DEPTHMAX	ELEV_PT	HUC_2	HUC_8	REACHCODE	COM_ID	STATUS_VER	STATUS_FLD	STATUS_DSK	PERM_WATER	NON_SALINE	SRFC_AREA	METER_DEEP	OPEN_WATER	AQUACULTUR	DISPOSAL	SEWAGE	EVAPORATE	PHYS_ACCES	FLAG_INFO	COMMENT_INFO	SAMPLED_PROFILE	SAMPLED_SECCHI	SAMPLED_ASSESS	SAMPLED_PHAB	INDXSAMP_PHAB	SAMPLED_CHEM	INDXSAMP_CHEM	SAMPLED_CHLA	INDXSAMP_CHLA	SAMPLED_ZOOP	INDXSAMP_ZOOP	SAMPLED_PHYT	INDXSAMP_PHYT	SAMPLED_CORE	INDXSAMP_CORE	SAMPLED_INF	INDXSAMP_INF	SAMPLED_ENTE	INDXSAMP_ENTE	SAMPLED_MICR	INDXSAMP_MICR	SAMPLED_SDHG	INDXSAMP_SDHG	VISIT_ID	FID_1
NLA06608-0001	1	7	31	2007	PROB_Lake	Target_Sampled	Target	-114.0218399	48.97902855	-114.0184	48.98348	Index_site	MT	Region_8			NLALake	Panel_1	0.028208177	35.10944309	7.59453197	MT	FALSE	WMTNS	WMT	41	II	II	NATURAL	WMTNS NATURAL	F	REF	Y	66.2930555	0.662930555	3.178509805	1.101246662	8.3	8.3	1605.73	10	10010001	10010001000311	9301511	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	NO CORE SAMPLE	YES	YES	YES	YES	YES	NO	YES	7468	0
NLA06608-0002	1	6	14	2007	PROB_Lake	Target_Sampled	Target	-79.98379054	33.03606404	-79.98366	33.03571	Index_site	SC	Region_4			NLALake	Panel_1	0.008172009	121.1909255	60.65422715	SC	TRUE	PLNLOW	CPL	63	XIV	CPL	MAN-MADE	PLNLOW MAN-MADE	D	SO-SO	N	14.43799807	0.144379981	1.743509934	1.294392549	2.3	2.3	4.9	03	03050201	03050201001074	9642039	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Missing	No	No	No	No	Yes			YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES (Top only)	YES	NOT DONE	YES	YES	YES	YES	YES	YES	YES	7469	2
NLA06608-0002	2	7	23	2007	PROB_Lake	Target_Sampled	Target	-79.98379054	33.03606404	-79.981575	33.035681	Index_site	SC	Region_4			NLALake	Panel_1	0.008172009	121.1909255	60.65422715	SC	TRUE	PLNLOW	CPL	63	XIV	CPL	MAN-MADE	PLNLOW MAN-MADE	D	SO-SO	N	14.43799807	0.144379981	1.743509934	1.294392549	1.3	1.3	4.9	03	03050201	03050201001074	9642039	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Missing	No	No	No	No	Yes			YES	YES	YES	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES (Top only)	NO	NOT DONE	NO	YES	NO	YES	NO	YES	NO	7470	1
NLA06608-0003	1	8	29	2007	PROB_Lake	Target_Sampled	Target	-97.85986605	28.04774206	-97.860278	28.0475	Index_site	TX	Region_6			NLALake	Panel_1	0.001312891	754.345388	210.5049403	TX	TRUE	PLNLOW	CPL	34	X	CPL	NATURAL	PLNLOW NATURAL	D	TRASH	N	5.701736559	0.057017366	1.265008306	1.494461982	2.5	2.5	17.6	12	12110111	12110111000589	3169452	Target_Sampled	Sampleable	Do_Field	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES (Top only)	YES	NOT DONE	YES	YES	YES	YES	YES	YES	YES	7471	4
NLA06608-0003	2	9	6	2007	PROB_Lake	Target_Sampled	Target	-97.85986605	28.04774206	-97.859167	28.0475	Index_site	TX	Region_6			NLALake	Panel_1	0.001312891	754.345388	210.5049403	TX	TRUE	PLNLOW	CPL	34	X	CPL	NATURAL	PLNLOW NATURAL	D	TRASH	N	5.701736559	0.057017366	1.265008306	1.494461982	2.4	2.4	17.6	12	12110111	12110111000589	3169452	Target_Sampled	Sampleable	Do_Field	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES (Top only)	NO	NOT DONE	NO	YES	NO	YES	NO	YES	NO	7472	3
NLA06608-0004	1	7	10	2007	PROB_Lake	Target_Sampled	Target	-108.4045832	37.41662013	-108.40881	37.41783	Index_site	CO	Region_8			NLALake	Panel_1	0.04653754	21.28117139	9.171940265	CO	TRUE	WMTNS	WMT	21	II	II	MAN-MADE	WMTNS MAN-MADE	G	SO-SO	N	65.38630923	0.653863092	6.011153731	2.097053406	6.3	6.3	2213	14	14080202	14080202000455	3262179	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES (Top only)	YES	NOT DONE	YES	YES	YES	YES	YES	YES	YES	7473	6
NLA06608-0004	2	9	11	2007	PROB_Lake	Target_Sampled	Target	-108.4045832	37.41662013	-108.4089	37.41791	Index_site	CO	Region_8			NLALake	Panel_1	0.04653754	21.28117139	9.171940265	CO	TRUE	WMTNS	WMT	21	II	II	MAN-MADE	WMTNS MAN-MADE	G	SO-SO	N	65.38630923	0.653863092	6.011153731	2.097053406	6	6	2213	14	14080202	14080202000455	3262179	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES (Top only)	NO	NOT DONE	NO	YES	NO	YES	NO	YES	NO	7474	5
NLA06608-0005	1	7	18	2007	PROB_Lake	Target_Sampled	Target	-114.8403862	43.92920926	-114.84167	43.92898	Index_site	ID	Region_10			NLALake	Panel_1	0.020429638	48.47728408	15.02738514	ID	FALSE	WMTNS	WMT	16	II	II	NATURAL	WMTNS NATURAL	F	REF	N	19.48761255	0.194876125	1.962187216	1.253880625	6.1	6.1	2138	17	17060201	17060201002998	23491387	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES, CLEAR TO BOTTOM	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES (Both)	YES	YES	YES	YES	YES	YES	YES	YES	YES	7475	7
NLA06608-0005	2	8	22	2007	PROB_Lake	Target_Sampled	Target	-114.8403862	43.92920926	-114.84177	43.92903	Index_site	ID	Region_10			NLALake	Panel_1	0.020429638	48.47728408	15.02738514	ID	FALSE	WMTNS	WMT	16	II	II	NATURAL	WMTNS NATURAL	F	REF	N	19.48761255	0.194876125	1.962187216	1.253880625	6.9	6.9	2138	17	17060201	17060201002998	23491387	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES, CLEAR TO BOTTOM	YES	YES	NO	YES	NO	YES	NO	YES	NO	YES	NO	YES (Both)	NO	NO LAB DATA	NO	YES	NO	YES	NO	YES	NO	7476	8
NLA06608-0006	1	7	17	2007	PROB_Lake	Target_Sampled	Target	-73.1465177	41.68314624	-73.14483	41.67626	Index_site	CT	Region_1			NLALake	Panel_1	0.057009219	17.3721618	19.57749882	CT	TRUE	EHIGH	NAP	59	XIV	CPL	MAN-MADE	EHIGH MAN-MADE	B	REF	Y	56.19974819	0.561997482	5.836994717	2.196429072	25.3	25.3	198.75	01	01100005	01100005003028	7711476	Target_Sampled		Sampleable	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes			YES	YES	YES	YES	YES	YES	YES	YES	YES	SAMPLE LOST	YES	YES	YES	YES (Both)	YES	YES	YES	YES	YES	YES	YES	YES	YES	7477	9
