"siteid_07"	"sampling_event"	"visit_no"	"day"	"month"	"year"	"lat"	"lon"	"state"	"EPA_reg"	"ECO9"	"HUC2"	"HUC8"	"lake_origin"	"area_km2"	"perim_km"	"elevation_m"	"depthmax_m"	"SLD"	"WGT"	"secchi_m"	"clear_to_bottom"	"basinarea_km2"	"pct_forest"	"pct_agric"	"chla_ugL"	"color_PCU"	"NTL_ugL"	"PTL_ugL"	"NA_mgL"	"DOC_mgL"	"TOC_mgL"	"cond_uScm"	"turb_NTU"	"nutrient_color"	"siteid_12"	"UID"	"WALA_ratio"	"site_id"	"sampled_depthmax_m"	"resampled"
"1"	"NLA06608-0001"	"NLA06608-0001-2007-1"	1	31	7	2007	48.97902855	-114.0218399	"MT"	"region_8"	"WMT"	"10"	"10010001"	"natural"	0.662930555	3.178509805	1605.73	8.3	1.10124666251397	7.59453197	6.4	0	3.757720078	41.9	0	0.24	6	151	6	0.252	0.63	0.37	96.28	0.474	"blue"	NA	NA	5.66834648012264	"NLA06608-0001"	8	0
"2"	"NLA06608-0002"	"NLA06608-0002-2007-1"	1	14	6	2007	33.03606404	-79.98379054	"SC"	"region_4"	"CPL"	"3"	"3050201"	"man-made"	0.144379981	1.743509934	4.9	2.3	1.29439254813372	60.65422715	0.55	0	2.290436081	59.9	0.3	3.84	71	695	36	2.526	14.02	15.9	44.8	3.55	"murky"	"1792"	NA	15.8639450229599	"NLA06608-0002"	1.9	1
"3"	"NLA06608-0002"	"NLA06608-0002-2007-2"	2	23	7	2007	33.03606404	-79.98379054	"SC"	"region_4"	"CPL"	"3"	"3050201"	"man-made"	0.144379981	1.743509934	4.9	1.3	1.29439254813372	60.65422715	0.45	0	2.290436081	59.9	0.3	20.053	60	507	25	2.132	13.8	16.34	42.87	4.43	"brown"	"1792"	NA	15.8639450229599	"NLA06608-0002"	0.8	1
"4"	"NLA06608-0002"	"NLA06608-0002-2007-2"	2	23	7	2007	33.03606404	-79.98379054	"SC"	"region_4"	"CPL"	"3"	"3050201"	"man-made"	0.144379981	1.743509934	4.9	1.3	1.29439254813372	60.65422715	0.45	0	2.290436081	59.9	0.3	20.88	45	469	22	2.113	13.69	16.19	43.18	3.87	"brown"	"1792"	NA	15.8639450229599	"NLA06608-0002"	0.8	1
"5"	"NLA06608-0002"	"NLA06608-0002-2012-1"	1	14	8	2012	33.03614283	-79.984084	"SC"	"region_4"	"CPL"	"3"	"3050201"	"man-made"	0.1470694315	1.7464941	4.9	NA	1.28469781064931	205.2016728	0.45	0	1.76849948713515	58.880408	0	36.24	73	779	44	2.947	14.09	NA	42.3	1.47	"murky"	"1792"	"7927"	12.024929103878	"NLA06608-0002"	2.1	1
"6"	"NLA06608-0003"	"NLA06608-0003-2007-1"	1	29	8	2007	28.04774206	-97.85986605	"TX"	"region_6"	"CPL"	"12"	"12110111"	"natural"	0.057017366	1.265008306	17.6	2.5	1.4944619764889	210.5049403	0.71	0	4.837379808	10.3	44.1	16.96	18	738	43	164.9	6	6.75	1089	7.67	"green"	NA	NA	84.8404643595777	"NLA06608-0003"	2	0
"7"	"NLA06608-0003"	"NLA06608-0003-2007-2"	2	6	9	2007	28.04774206	-97.85986605	"TX"	"region_6"	"CPL"	"12"	"12110111"	"natural"	0.057017366	1.265008306	17.6	2.4	1.4944619764889	210.5049403	0.49	0	4.837379808	10.3	44.1	12.864	12	843	50	164.2	5.87	7.46	1120	9.53	"green"	NA	NA	84.8404643595777	"NLA06608-0003"	2	0
"8"	"NLA06608-0004"	"NLA06608-0004-2007-1"	1	10	7	2007	37.41662013	-108.4045832	"CO"	"region_8"	"WMT"	"14"	"14080202"	"man-made"	0.653863092	6.011153731	2213	6.3	2.09705340648055	9.171940265	1.8	0	4.702661694	37	1.7	4.6	13	344	18	11.1	8	9.09	303.3	3.81	"blue"	"223"	NA	7.19211980541027	"NLA06608-0004"	5.7	1
"9"	"NLA06608-0004"	"NLA06608-0004-2007-2"	2	11	9	2007	37.41662013	-108.4045832	"CO"	"region_8"	"WMT"	"14"	"14080202"	"man-made"	0.653863092	6.011153731	2213	6	2.09705340648055	9.171940265	1	0	4.702661694	37	1.7	12.42	8	584	44	11.4	7.86	8.49	326.7	7.41	"green"	"223"	NA	7.19211980541027	"NLA06608-0004"	5.5	1
"10"	"NLA06608-0004"	"NLA06608-0004-2007-2"	2	11	9	2007	37.41662013	-108.4045832	"CO"	"region_8"	"WMT"	"14"	"14080202"	"man-made"	0.653863092	6.011153731	2213	6	2.09705340648055	9.171940265	1	0	4.702661694	37	1.7	14.72	10	596	46	11.36	7.86	8.44	326.7	7.33	"green"	"223"	NA	7.19211980541027	"NLA06608-0004"	5.5	1
"11"	"NLA06608-0004"	"NLA06608-0004-2012-1"	1	30	8	2012	37.4167824	-108.4056506	"CO"	"region_8"	"WMT"	"14"	"14080202"	"man-made"	0.6538610038	6.011170144	2213	NA	2.09706248095471	33.9172379	0.315	0	4.64220005228109	36.991082	1.31834	101.3	18	1079	114	12.99	9.66	NA	246	34.47	"green"	"223"	"8325"	7.09967412844982	"NLA06608-0004"	3.9	1
