"SITE_ID"	"VISIT_NO"	"DEPTH"	"YEAR"	"MONTH"	"DAY"	"TEMP_FIELD"	"DO_FIELD"	"PH_FIELD"	"COND_FIELD"	"LAYER"
"1"	"NLA06608-0002"	"1"	0	2007	6	14	29.19	NA	5.5	52.9	"E"
"2"	"NLA06608-0002"	"1"	0.5	2007	6	14	24	NA	5.3	46.7	"E"
"3"	"NLA06608-0002"	"1"	1	2007	6	14	21.9	NA	5.5	62	"E"
"4"	"NLA06608-0002"	"1"	1.5	2007	6	14	18.8	NA	5.6	72.3	"E"
"5"	"NLA06608-0002"	"1"	1.9	2007	6	14	17.2	NA	5.7	76.8	"E"
"6"	"NLA06608-0002"	"2"	0	2007	7	23	25.6	NA	5.1	43.5	"E"
"7"	"NLA06608-0002"	"2"	0.5	2007	7	23	25	NA	5.1	42.9	"E"
"8"	"NLA06608-0002"	"2"	0.8	2007	7	23	23.9	NA	5	51.7	"E"
"9"	"NLA06608-0004"	"1"	0	2007	7	10	20.6	6.7	8.2	296	"E"
"10"	"NLA06608-0004"	"1"	1	2007	7	10	20.6	6.7	8.4	296	"E"
"11"	"NLA06608-0004"	"1"	2	2007	7	10	20.5	6.6	8.4	296	"E"
"12"	"NLA06608-0004"	"1"	3	2007	7	10	20.5	6.6	8.4	296	"E"
"13"	"NLA06608-0004"	"1"	4	2007	7	10	20.4	6.5	8.4	296	"E"
"14"	"NLA06608-0004"	"1"	5	2007	7	10	20.1	5.4	8.2	296	"M"
"15"	"NLA06608-0004"	"1"	5.7	2007	7	10	19	2.2	7.8	296	"M"
"16"	"NLA06608-0004"	"2"	0	2007	9	11	18.8	6.2	8.3	298	"H"
"17"	"NLA06608-0004"	"2"	1	2007	9	11	18.8	6.1	8.4	299	"H"
"18"	"NLA06608-0004"	"2"	2	2007	9	11	18.7	6	8.4	301	"H"
"19"	"NLA06608-0004"	"2"	3	2007	9	11	18.7	6.1	8.4	302	"H"
"20"	"NLA06608-0004"	"2"	4	2007	9	11	18.7	6.3	8.4	302	"H"
"21"	"NLA06608-0004"	"2"	5	2007	9	11	18.6	6.2	8.4	303	"H"
"22"	"NLA06608-0004"	"2"	5.5	2007	9	11	18.6	6.1	8.4	304	"H"
"23"	"NLA06608-0006"	"1"	0	2007	7	17	25.3	8.56	8.15	77	"E"
"24"	"NLA06608-0006"	"1"	1	2007	7	17	25.3	8.56	8.15	77	"E"
"25"	"NLA06608-0006"	"1"	2	2007	7	17	25.1	8.64	8.1	77	"E"
"26"	"NLA06608-0006"	"1"	3	2007	7	17	25	8.55	8.1	77	"E"
"27"	"NLA06608-0006"	"1"	4	2007	7	17	24.5	8.83	8.1	77	"M"
"28"	"NLA06608-0006"	"1"	5	2007	7	17	17.6	9.55	7.1	74	"M"
"29"	"NLA06608-0006"	"1"	6	2007	7	17	14.2	7.76	6.8	72	"M"
"30"	"NLA06608-0006"	"1"	7	2007	7	17	10.4	6.39	6.6	73	"M"
"31"	"NLA06608-0006"	"1"	8	2007	7	17	8.4	6.58	6.5	72	"M"
"32"	"NLA06608-0006"	"1"	9	2007	7	17	7.54	7.48	6.5	73	"M"
"33"	"NLA06608-0006"	"1"	10	2007	7	17	7.07	7.6	6.6	73	"H"
"34"	"NLA06608-0006"	"1"	11	2007	7	17	6.79	7.64	6.6	73	"H"
"35"	"NLA06608-0006"	"1"	12	2007	7	17	6.51	8.01	6.6	73	"H"
"36"	"NLA06608-0006"	"1"	13	2007	7	17	6.33	8.11	6.6	73	"H"
"37"	"NLA06608-0006"	"1"	14	2007	7	17	6.06	8	6.6	73	"H"
"38"	"NLA06608-0006"	"1"	15	2007	7	17	5.94	7.8	6.6	74	"H"
"39"	"NLA06608-0006"	"1"	16	2007	7	17	5.89	7.86	6.6	74	"H"
