"SITE_ID"	"VISIT_NO"	"DEPTH"	"YEAR"	"MONTH"	"DAY"	"TEMP_FIELD"	"DO_FIELD"	"PH_FIELD"	"COND_FIELD"	"LAYER"
"1"	"NLA12_AL-101"	"1"	0.25	2012	5	24	26.05	9.9	8.5	300.5	"E"
"2"	"NLA12_AL-101"	"1"	1	2012	5	24	25.8	9.9	8.4	301	"E"
"3"	"NLA12_AL-101"	"1"	2	2012	5	24	25.7	9.9	8.5	301	"E"
"4"	"NLA12_AL-101"	"1"	3	2012	5	24	25.6	9.9	8.5	301	"E"
"5"	"NLA12_AL-101"	"1"	4	2012	5	24	25.5	9.4	8.4	302	"E"
"6"	"NLA12_AL-101"	"1"	5	2012	5	24	25.1	7.8	8.1	303	"E"
"7"	"NLA12_AL-101"	"1"	6	2012	5	24	24.9	7.1	7.9	303	"E"
"8"	"NLA12_AL-101"	"1"	7	2012	5	24	24.4	6.3	7.8	306	"E"
"9"	"NLA12_AL-101"	"1"	8	2012	5	24	24.3	5.4	7.7	306	"E"
"10"	"NLA12_AL-101"	"1"	9	2012	5	24	24.1	4.9	7.6	307	"E"
"11"	"NLA12_AL-101"	"1"	10	2012	5	24	23.9	4.5	7.5	307	"E"
"12"	"NLA12_AL-101"	"1"	11	2012	5	24	23.8	4	7.5	307	"E"
"13"	"NLA12_AL-101"	"1"	12	2012	5	24	23.6	3.7	7.4	306	"E"
"14"	"NLA12_AL-101"	"1"	12.6	2012	5	24	23.6	3.5	7.4	306	"E"
"15"	"NLA12_AL-101"	"2"	0	2012	7	21	30.25	7.5	8.25	430.5	"E"
"16"	"NLA12_AL-101"	"2"	1	2012	7	21	29.7	7.8	8.3	430	"E"
"17"	"NLA12_AL-101"	"2"	2	2012	7	21	29.4	7	8.1	432	"E"
"18"	"NLA12_AL-101"	"2"	3	2012	7	21	29.3	6.6	8	431	"E"
"19"	"NLA12_AL-101"	"2"	4	2012	7	21	29.2	6.1	7.9	432	"E"
"20"	"NLA12_AL-101"	"2"	5	2012	7	21	29.1	5.5	7.8	435	"E"
"21"	"NLA12_AL-101"	"2"	6	2012	7	21	29.1	5.4	7.8	436	"E"
"22"	"NLA12_AL-101"	"2"	7	2012	7	21	29.1	5.4	7.8	435	"E"
"23"	"NLA12_AL-101"	"2"	8	2012	7	21	29.1	5.2	7.8	434	"E"
"24"	"NLA12_AL-101"	"2"	9	2012	7	21	29.1	4.9	7.7	434	"E"
"25"	"NLA12_AL-101"	"2"	10	2012	7	21	29	3.6	7.5	430	"E"
"26"	"NLA12_AL-101"	"2"	11	2012	7	21	28.9	2.6	7.4	426	"E"
"27"	"NLA12_AL-101"	"2"	12	2012	7	21	28.9	2.4	7.4	426	"E"
"28"	"NLA12_AL-101"	"2"	13	2012	7	21	28.8	1.4	7.3	425	"E"
"29"	"NLA12_AL-101"	"2"	13.5	2012	7	21	28.8	1.3	7.3	424	"E"
"30"	"NLA12_AL-102"	"1"	0	2012	7	17	30.35	8.8	11.4	80	"E"
"31"	"NLA12_AL-102"	"1"	1	2012	7	17	29.9	9.1	10.8	80	"E"
"32"	"NLA12_AL-102"	"1"	2	2012	7	17	29.6	9	10.9	79	"E"
"33"	"NLA12_AL-102"	"1"	3	2012	7	17	29	9.1	11	79	"M"
"34"	"NLA12_AL-102"	"1"	4	2012	7	17	27.4	8.7	10.6	77	"M"
"35"	"NLA12_AL-102"	"1"	5	2012	7	17	20.8	2.4	10.2	55	"M"
"36"	"NLA12_AL-102"	"1"	6	2012	7	17	16.7	1.2	10.9	99	"M"
"37"	"NLA12_AL-102"	"1"	7	2012	7	17	14.7	0.9	10.8	101	"M"
"38"	"NLA12_AL-102"	"1"	8	2012	7	17	13.1	0.8	10.5	89	"M"
"39"	"NLA12_AL-102"	"1"	9	2012	7	17	12.4	0.7	10.5	95	"M"
"40"	"NLA12_AL-102"	"1"	10	2012	7	17	12	0.7	10.4	94	"H"
"41"	"NLA12_AL-102"	"1"	11	2012	7	17	11.7	0.6	10.5	95	"H"
"42"	"NLA12_AL-102"	"1"	12	2012	7	17	11.5	0.6	10.5	95	"H"
"43"	"NLA12_AL-102"	"1"	13	2012	7	17	11.4	0.6	10.6	96	"H"
