"SITEID_07"	"VISIT_NO"	"DAY"	"MONTH"	"YEAR"	"LAT"	"LON"	"STATE"	"EPA_REG"	"ECO9"	"HUC2"	"HUC8"	"LAKE_ORIGIN"	"AREA_KM2"	"PERIM_KM"	"ELEVATION_M"	"DEPTHMAX_M"	"SLD"	"WGT"
"1"	"NLA06608-0001"	1	31	7	2007	48.97902855	-114.0218399	"MT"	"Region_8"	"WMT"	"10"	"10010001"	"NATURAL"	0.662930555	3.178509805	1605.73	8.3	1.101246662	7.59453197
"2"	"NLA06608-0002"	1	14	6	2007	33.03606404	-79.98379054	"SC"	"Region_4"	"CPL"	"3"	"3050201"	"MAN-MADE"	0.144379981	1.743509934	4.9	2.3	1.294392549	60.65422715
"3"	"NLA06608-0002"	2	23	7	2007	33.03606404	-79.98379054	"SC"	"Region_4"	"CPL"	"3"	"3050201"	"MAN-MADE"	0.144379981	1.743509934	4.9	1.3	1.294392549	60.65422715
"4"	"NLA06608-0003"	1	29	8	2007	28.04774206	-97.85986605	"TX"	"Region_6"	"CPL"	"12"	"12110111"	"NATURAL"	0.057017366	1.265008306	17.6	2.5	1.494461982	210.5049403
"5"	"NLA06608-0003"	2	6	9	2007	28.04774206	-97.85986605	"TX"	"Region_6"	"CPL"	"12"	"12110111"	"NATURAL"	0.057017366	1.265008306	17.6	2.4	1.494461982	210.5049403
"6"	"NLA06608-0004"	1	10	7	2007	37.41662013	-108.4045832	"CO"	"Region_8"	"WMT"	"14"	"14080202"	"MAN-MADE"	0.653863092	6.011153731	2213	6.3	2.097053406	9.171940265
"7"	"NLA06608-0004"	2	11	9	2007	37.41662013	-108.4045832	"CO"	"Region_8"	"WMT"	"14"	"14080202"	"MAN-MADE"	0.653863092	6.011153731	2213	6	2.097053406	9.171940265
"8"	"NLA06608-0005"	1	18	7	2007	43.92920926	-114.8403862	"ID"	"Region_10"	"WMT"	"17"	"17060201"	"NATURAL"	0.194876125	1.962187216	2138	6.1	1.253880625	15.02738514
"9"	"NLA06608-0005"	2	22	8	2007	43.92920926	-114.8403862	"ID"	"Region_10"	"WMT"	"17"	"17060201"	"NATURAL"	0.194876125	1.962187216	2138	6.9	1.253880625	15.02738514
"10"	"NLA06608-0006"	1	17	7	2007	41.68314624	-73.1465177	"CT"	"Region_1"	"NAP"	"1"	"1100005"	"MAN-MADE"	0.561997482	5.836994717	198.75	25.3	2.196429072	19.57749882
"11"	"NLA06608-0006"	2	30	8	2007	41.68314624	-73.1465177	"CT"	"Region_1"	"NAP"	"1"	"1100005"	"MAN-MADE"	0.561997482	5.836994717	198.75	23.8	2.196429072	19.57749882
"12"	"NLA06608-0007"	1	24	7	2007	45.58064546	-92.04001797	"WI"	"Region_5"	"UMW"	"7"	"7050007"	"NATURAL"	0.254747633	3.02298601	390.86	19.2	1.689569755	159.855637
"13"	"NLA06608-0007"	2	6	9	2007	45.58064546	-92.04001797	"WI"	"Region_5"	"UMW"	"7"	"7050007"	"NATURAL"	0.254747633	3.02298601	390.86	19	1.689569755	159.855637
"14"	"NLA06608-0008"	1	12	7	2007	41.29211104	-93.59040488	"IA"	"Region_7"	"TPL"	"7"	"7100008"	"MAN-MADE"	0.487370362	5.71138051	261.56	5.5	2.307844831	3.396573599
"15"	"NLA06608-0008"	2	22	8	2007	41.29211104	-93.59040488	"IA"	"Region_7"	"TPL"	"7"	"7100008"	"MAN-MADE"	0.487370362	5.71138051	261.56	5.5	2.307844831	3.396573599
"16"	"NLA06608-0010"	1	17	7	2007	42.61823014	-83.50588771	"MI"	"Region_5"	"UMW"	"4"	"4090005"	"NATURAL"	0.300373324	2.423467747	284.65	11.8	1.247388202	81.58117426
"17"	"NLA06608-0010"	2	18	8	2007	42.61823014	-83.50588771	"MI"	"Region_5"	"UMW"	"4"	"4090005"	"NATURAL"	0.300373324	2.423467747	284.65	11	1.247388202	81.58117426
"18"	"NLA06608-0012"	1	13	6	2007	35.99078823	-96.87178731	"OK"	"Region_6"	"SPL"	"11"	"11050003"	"MAN-MADE"	1.776575126	13.50645679	255.6	3.5	2.858542891	3.451225091
"19"	"NLA06608-0012"	2	18	9	2007	35.99078823	-96.87178731	"OK"	"Region_6"	"SPL"	"11"	"11050003"	"MAN-MADE"	1.776575126	13.50645679	255.6	3.4	2.858542891	3.451225091
"20"	"NLA06608-0013"	1	4	9	2007	39.97428032	-74.56255123	"NJ"	"Region_2"	"CPL"	"2"	"2040202"	"MAN-MADE"	0.371402558	8.284688178	15.44	2.3	3.834853608	147.9090567
