"SITE_ID"	"COM_ID"	"VISIT_NO"	"DAY"	"MONTH"	"YEAR"	"LAT"	"LON"	"STATE"	"EPA_REG"	"ECO9"	"HUC2"	"HUC8"	"LAKE_ORIGIN"	"AREA_KM2"	"PERIM_KM"	"ELEVATION_M"	"WGT"
"1"	"NLA12_AL-101"	"21656744"	1	24	5	2012	33.29204144	-87.3913824	"AL"	"Region_4"	"SAP"	"3"	"3160112"	"MAN_MADE"	13.0187197	104.2086662	57.03	20.28888476
"2"	"NLA12_AL-101"	"21656744"	2	21	7	2012	33.29204144	-87.3913824	"AL"	"Region_4"	"SAP"	"3"	"3160112"	"MAN_MADE"	13.0187197	104.2086662	57.03	20.28888476
"3"	"NLA12_AL-102"	"18587568"	1	17	7	2012	34.22781586	-86.84344912	"AL"	"Region_4"	"SAP"	"3"	"3160109"	"MAN_MADE"	0.7295042027	11.87230532	247.04	46.61790206
"4"	"NLA12_AL-103"	"22273142"	1	19	7	2012	33.7624784	-86.05315833	"AL"	"Region_4"	"SAP"	"3"	"3150106"	"MAN_MADE"	103.6325848	688.4591342	141.76	51.33189892
"5"	"NLA12_AL-104"	"21677972"	1	23	7	2012	32.51586852	-87.86108477	"AL"	"Region_4"	"CPL"	"3"	"3160201"	"MAN_MADE"	47.31474336	698.1088203	22.28	101.4910459
"6"	"NLA12_AL-105"	"21639448"	1	23	5	2012	31.62154629	-88.35373896	"AL"	"Region_4"	"CPL"	"3"	"3160203"	"MAN_MADE"	0.3256146308	2.998953879	50.83	83.37696313
"7"	"NLA12_AL-105"	"21639448"	2	24	7	2012	31.62154629	-88.35373896	"AL"	"Region_4"	"CPL"	"3"	"3160203"	"MAN_MADE"	0.3256146308	2.998953879	50.83	83.37696313
"8"	"NLA12_AL-106"	"2212554"	NA	NA	NA	NA	31.39484325	-86.00721724	"AL"	"Region_4"	"CPL"	"3"	"3140202"	"MAN_MADE"	0.02259936169	0.65741193	96.12	2390.5
"9"	"NLA12_AL-107"	"21679912"	NA	NA	NA	NA	32.18713577	-86.50841536	"AL"	"Region_4"	"CPL"	"3"	"3150201"	"MAN_MADE"	0.1335993011	1.992118953	77.74	150.3432224
"10"	"NLA12_AL-108"	"18563971"	NA	NA	NA	NA	33.86882068	-86.62367709	"AL"	"Region_4"	"SAP"	"3"	"3160111"	""	0.02666005278	0.885433413	181.48	2390.5
"11"	"NLA12_AL-109"	"445080"	NA	NA	NA	NA	31.07411321	-87.40975524	"AL"	"Region_4"	"CPL"	"3"	"3140305"	""	0.1065408828	1.53303592	83.23	150.3432224
"12"	"NLA12_AL-110"	"19644250"	NA	NA	NA	NA	34.87348351	-85.77044459	"AL"	"Region_4"	"SAP"	"6"	"6030001"	""	0.1281513476	2.377971274	181.82	150.3432224
"13"	"NLA12_AL-111"	"3434760"	NA	NA	NA	NA	32.34571752	-85.23421352	"AL"	"Region_4"	"CPL"	"3"	"3130003"	""	0.04177936778	1.527309271	122.24	546.5717263
"14"	"NLA12_AL-112"	"18628452"	1	22	7	2012	33.36486204	-88.16688028	"AL"	"Region_4"	"CPL"	"3"	"3160106"	"MAN_MADE"	0.0555544262	1.293121817	78.07	546.5717263
"15"	"NLA12_AL-113"	"18522817"	1	8	8	2012	30.97184148	-88.0527428	"AL"	"Region_4"	"CPL"	"3"	"3160204"	"MAN_MADE"	0.2940501835	3.81355553	13.99	83.37696313
"16"	"NLA12_AL-114"	"22200659"	1	26	7	2012	33.88200988	-85.9316179	"AL"	"Region_4"	"SAP"	"3"	"3150106"	"MAN_MADE"	0.1810471487	3.585987135	171.04	150.3432224
"17"	"NLA12_AL-R03"	"22033983"	1	18	7	2012	33.32192301	-85.81071637	"AL"	"Region_4"	"SAP"	"3"	"3150109"	"MAN_MADE"	0.2242053898	4.766510605	317.68	NA
"18"	"NLA12_AL-R05"	"18203922"	1	21	7	2012	33.28949519	-87.68596227	"AL"	"Region_4"	"CPL"	"3"	"3160113"	"MAN_MADE"	0.9103472955	11.21361901	71.04	NA
"19"	"NLA12_AR-101"	"22845861"	1	23	7	2012	34.53435079	-92.26882632	"AR"	"Region_6"	"CPL"	"11"	"11110207"	"MAN_MADE"	1.057849996	9.08146137	74.14	140.6756261
"20"	"NLA12_AR-101"	"22845861"	2	17	8	2012	34.53435079	-92.26882632	"AR"	"Region_6"	"CPL"	"11"	"11110207"	"MAN_MADE"	1.057849996	9.08146137	74.14	140.6756261
"21"	"NLA12_AR-102"	"9272602"	1	21	8	2012	35.58318947	-90.96294056	"AR"	"Region_6"	"CPL"	"8"	"8020302"	"MAN_MADE"	0.9589252695	3.883137271	69.01	170.3424876
"22"	"NLA12_AR-103"	"15237662 ; 21996100"	1	24	8	2012	34.41755034	-93.07012469	"AR"	"Region_6"	"SAP"	"8"	"8040101"	"MAN_MADE"	24.28921192	180.208525	118.4	20.64042006
"23"	"NLA12_AR-104"	"7764393"	1	9	8	2012	35.5624593	-93.63756822	"AR"	"Region_6"	"SAP"	"11"	"11110202"	"MAN_MADE"	0.44682124	4.738604684	203.73	174.9925497
"24"	"NLA12_AR-105"	"15219066"	1	24	7	2012	33.07556301	-92.66059625	"AR"	"Region_6"	"CPL"	"8"	"8040206"	"MAN_MADE"	0.0729500254	1.551513244	55.37	549.2845394
"25"	"NLA12_AR-105"	"15219066"	2	16	8	2012	33.07556301	-92.66059625	"AR"	"Region_6"	"CPL"	"8"	"8040206"	"MAN_MADE"	0.0729500254	1.551513244	55.37	549.2845394
"26"	"NLA12_AR-106"	"7548451"	1	20	8	2012	36.06720319	-91.14242843	"AR"	"Region_6"	"SAP"	"11"	"11010009"	"MAN_MADE"	2.225927542	17.23630001	82.69	154.1650994
"27"	"NLA12_AR-107"	"14861265"	1	28	8	2012	34.15969851	-91.06794934	"AR"	"Region_6"	"CPL"	"8"	"8020303"	"MAN_MADE"	0.6235713698	8.390642771	42.28	154.1650994
"28"	"NLA12_AR-108"	"19301587"	1	28	8	2012	33.1461337	-91.25357855	"AR"	"Region_6"	"CPL"	"8"	"8050002"	""	0.06393528636	1.231512011	30.42	549.2845394
"29"	"NLA12_AR-109"	"3748090"	1	8	8	2012	33.81796398	-94.05998348	"AR"	"Region_6"	"CPL"	"11"	"11140109"	"MAN_MADE"	0.04149225261	1.003458503	107.3	549.2845394
"30"	"NLA12_AR-110"	"15331440"	1	28	8	2012	34.49339339	-91.93537803	"AR"	"Region_6"	"CPL"	"8"	"8020401"	"MAN_MADE"	0.6809260195	3.338314228	64.95	154.1650994
"31"	"NLA12_AR-111"	"22845785"	1	22	8	2012	34.60033557	-92.50069818	"AR"	"Region_6"	"CPL"	"8"	"8040203"	"MAN_MADE"	0.02061803018	0.594248561	120	2762
"32"	"NLA12_AZ-101"	"20476542"	1	8	5	2012	33.5692971	-111.5241427	"AZ"	"Region_9"	"XER"	"15"	"15060106"	"MAN_MADE"	3.734884097	24.14730294	459	7.156067619
"33"	"NLA12_AZ-101"	"20476542"	2	14	6	2012	33.5692971	-111.5241427	"AZ"	"Region_9"	"XER"	"15"	"15060106"	"MAN_MADE"	3.734884097	24.14730294	459	7.156067619
"34"	"NLA12_AZ-102"	"20451100"	1	19	9	2012	34.60431345	-112.4386225	"AZ"	"Region_9"	"WMT"	"15"	"15060202"	"MAN_MADE"	1.19179815	9.13022933	1567	7.156067619
"35"	"NLA12_AZ-103"	"20524727"	1	9	8	2012	35.02357175	-111.4006586	"AZ"	"Region_9"	"WMT"	"15"	"15020015"	"MAN_MADE"	0.8145252873	4.683705075	2168	6.498899383
"36"	"NLA12_AZ-104"	"1408811"	NA	NA	NA	NA	36.27620301	-109.2032708	"AZ"	"Region_9"	"WMT"	"14"	"14080204"	"MAN_MADE"	1.051885899	7.881710586	2142.7	6.637624753
"37"	"NLA12_AZ-105"	"21745261"	NA	NA	NA	NA	34.78637532	-111.2304201	"AZ"	"Region_9"	"WMT"	"15"	"15020008"	"MAN_MADE"	0.4938286557	3.404529751	2066	17.6001161
"38"	"NLA12_AZ-106"	"10001770"	1	23	8	2012	33.40602291	-114.7138943	"AZ"	"Region_9"	"XER"	"15"	"15030104"	"MAN_MADE"	0.5500641968	10.5125494	69.11	6.028067123
"39"	"NLA12_AZ-107"	"20584396"	1	26	7	2012	34.3606808	-109.363087	"AZ"	"Region_9"	"XER"	"15"	"15020001"	"MAN_MADE"	5.292331386	25.91177862	1822	11.19040339
"40"	"NLA12_AZ-108"	"1405961"	NA	NA	NA	NA	36.7262949	-110.2795479	"AZ"	"Region_9"	"XER"	"14"	"14080204"	""	0.1014637002	2.321353363	1756.67	4.379421579
"41"	"NLA12_AZ-109"	"20586586"	NA	NA	NA	NA	33.97999027	-109.313073	"AZ"	"Region_9"	"WMT"	"15"	"15020001"	""	0.02524544732	0.590002864	2822.09	17.375
"42"	"NLA12_AZ-110"	"20492469"	NA	NA	NA	NA	33.62503157	-110.227374	"AZ"	"Region_9"	"WMT"	"15"	"15060101"	"MAN_MADE"	0.1090748612	1.483531096	1723.06	4.379421579
"43"	"NLA12_AZ-111"	"20449988"	NA	NA	NA	NA	35.21799283	-111.8357564	"AZ"	"Region_9"	"WMT"	"15"	"15060202"	"MAN_MADE"	0.01901674064	0.592703922	2157.43	17.375
"44"	"NLA12_AZ-112"	"21327667"	NA	NA	NA	NA	32.72025402	-109.704908	"AZ"	"Region_9"	"XER"	"15"	"15040005"	"MAN_MADE"	0.01639144554	0.520145826	978.52	17.375
"45"	"NLA12_AZ-113"	"20584572"	NA	NA	NA	NA	34.00425647	-109.3354542	"AZ"	"Region_9"	"WMT"	"15"	"15020001"	""	0.04284180263	1.215046703	2792.49	8.518404325
"46"	"NLA12_AZ-114"	"22443804"	NA	NA	NA	NA	33.37842471	-110.521809	"AZ"	"Region_9"	"XER"	"15"	"15040007"	""	0.03561658573	0.755524371	873.56	17.375
"47"	"NLA12_AZ-115"	"20451076"	NA	NA	NA	NA	34.81490774	-112.4670894	"AZ"	"Region_9"	"XER"	"15"	"15060202"	""	0.05358829274	1.084518125	1373	8.518404325
"48"	"NLA12_AZ-116"	"15885918"	NA	NA	NA	NA	32.93340836	-111.6471482	"AZ"	"Region_9"	"XER"	"15"	"15050303"	""	0.08796521678	1.659962444	428.23	8.518404325
"49"	"NLA12_AZ-117"	"20485908"	NA	NA	NA	NA	34.02942949	-109.6210623	"AZ"	"Region_9"	"WMT"	"15"	"15060102"	"MAN_MADE"	0.07294011812	1.162041853	2696.49	8.518404325
"50"	"NLA12_AZ-118"	"20479908"	1	9	5	2012	33.38131121	-111.883581	"AZ"	"Region_9"	"XER"	"15"	"15060106"	"MAN_MADE"	0.08007210087	2.713057747	365.97	8.518404325
"51"	"NLA12_AZ-119"	"21436981"	NA	NA	NA	NA	34.76270414	-114.5202856	"AZ"	"Region_9"	"XER"	"15"	"15030101"	"NATURAL"	0.01897439226	0.633792907	139.33	17.375
"52"	"NLA12_AZ-120"	"21308965"	NA	NA	NA	NA	31.63576083	-109.082647	"AZ"	"Region_9"	"XER"	"15"	"15040006"	""	0.01550913005	0.475900445	1385.46	17.375
"53"	"NLA12_AZ-121"	"20496949"	NA	NA	NA	NA	33.48233976	-109.9496887	"AZ"	"Region_9"	"WMT"	"15"	"15060101"	"MAN_MADE"	0.02052100389	0.589620217	1900.03	17.375
"54"	"NLA12_AZ-122"	"21744119"	NA	NA	NA	NA	35.26957784	-110.8631424	"AZ"	"Region_9"	"XER"	"15"	"15020008"	""	0.3592895576	3.102828195	1445.68	3.72925535
"55"	"NLA12_AZ-123"	"10001834"	1	24	8	2012	33.0266436	-114.5090632	"AZ"	"Region_9"	"XER"	"15"	"15030104"	"NATURAL"	0.1887422654	3.259236986	57.69	4.379421579
"56"	"NLA12_AZ-124"	"3528317"	NA	NA	NA	NA	36.91343291	-111.4861343	"AZ"	"Region_9"	"XER"	"14"	"14070006"	"MAN_MADE"	0.05324951816	0.931095824	1225.29	8.518404325
"57"	"NLA12_AZ-125"	"20586602"	NA	NA	NA	NA	33.94275065	-109.4828533	"AZ"	"Region_9"	"WMT"	"15"	"15020001"	""	0.1550514181	2.274265134	2835.7	4.379421579
"58"	"NLA12_AZ-126"	"21292339"	NA	NA	NA	NA	33.66822038	-110.4468803	"AZ"	"Region_9"	"WMT"	"15"	"15040007"	"MAN_MADE"	0.02555818157	0.600417306	1763.93	17.375
"59"	"NLA12_AZ-127"	"20695686"	1	23	5	2012	35.28501346	-112.1541634	"AZ"	"Region_9"	"WMT"	"15"	"15010004"	"MAN_MADE"	0.2476589448	3.780921415	2072.07	3.72925535
"60"	"NLA12_AZ-128"	"21321427"	NA	NA	NA	NA	33.21395147	-109.8332003	"AZ"	"Region_9"	"XER"	"15"	"15040005"	""	0.02087395774	0.66845756	1523.88	17.375
"61"	"NLA12_AZ-129"	"20493257"	NA	NA	NA	NA	33.91647418	-109.435219	"AZ"	"Region_9"	"WMT"	"15"	"15060101"	"NATURAL"	0.2167457958	2.607011102	2756.05	9.996927936
"62"	"NLA12_AZ-130"	"20438850"	1	10	5	2012	33.84530018	-111.6185016	"AZ"	"Region_9"	"XER"	"15"	"15060203"	"MAN_MADE"	6.226993198	48.18706487	533.25	4.533989399
"63"	"NLA12_AZ-130"	"20438850"	2	22	8	2012	33.84530018	-111.6185016	"AZ"	"Region_9"	"XER"	"15"	"15060203"	"MAN_MADE"	6.226993198	48.18706487	533.25	4.533989399
"64"	"NLA12_AZ-131"	"20415514"	NA	NA	NA	NA	33.60760953	-112.2848192	"AZ"	"Region_9"	"XER"	"15"	"15070102"	"MAN_MADE"	0.1313167755	2.821305293	352.89	4.379421579
"65"	"NLA12_AZ-132"	"21327541"	NA	NA	NA	NA	32.984399	-109.9412408	"AZ"	"Region_9"	"XER"	"15"	"15040005"	""	0.00828665064	0.384157956	839.42	17.375
"66"	"NLA12_AZ-133"	"20487510"	NA	NA	NA	NA	33.91124585	-109.7317698	"AZ"	"Region_9"	"WMT"	"15"	"15060102"	"MAN_MADE"	0.159863368	2.553597433	2508	4.379421579
"67"	"NLA12_AZ-134"	"22437450"	NA	NA	NA	NA	34.49721809	-110.8247241	"AZ"	"Region_9"	"WMT"	"15"	"15020010"	"MAN_MADE"	1.008612197	11.67887594	1946.09	4.533989399
"68"	"NLA12_AZ-135"	"21436953"	NA	NA	NA	NA	34.92945404	-114.6258019	"AZ"	"Region_9"	"XER"	"15"	"15030101"	""	0.1594101411	5.274967521	145.16	4.379421579
"69"	"NLA12_AZ-136"	"21376706"	NA	NA	NA	NA	31.36317903	-109.870035	"AZ"	"Region_9"	"XER"	"15"	"15080301"	""	0.02290843457	0.6749657	1429.05	17.375
"70"	"NLA12_AZ-137"	"20493291"	NA	NA	NA	NA	33.69413235	-109.8717562	"AZ"	"Region_9"	"WMT"	"15"	"15060101"	"MAN_MADE"	0.08620146714	1.334653993	1913.83	8.518404325
"71"	"NLA12_AZ-138"	"21744121"	NA	NA	NA	NA	35.25973579	-110.8209165	"AZ"	"Region_9"	"XER"	"15"	"15020008"	""	0.06777923322	1.18649677	1447.04	8.518404325
"72"	"NLA12_AZ-139"	"22636856"	NA	NA	NA	NA	33.03287712	-114.6233405	"AZ"	"Region_9"	"XER"	"15"	"15030104"	"NATURAL"	0.02725804415	0.799102853	60.82	17.375
"73"	"NLA12_AZ-140"	"21327603"	1	19	7	2012	32.8056793	-109.8626777	"AZ"	"Region_9"	"XER"	"15"	"15040005"	"MAN_MADE"	0.05897283111	1.093999706	1006.44	8.518404325
"74"	"NLA12_AZ-141"	"20493245"	NA	NA	NA	NA	33.95224152	-109.338336	"AZ"	"Region_9"	"WMT"	"15"	"15060101"	""	0.06389481946	1.099884179	2828.49	8.518404325
"75"	"NLA12_AZ-142"	"22443758"	NA	NA	NA	NA	33.43731387	-110.8395428	"AZ"	"Region_9"	"WMT"	"15"	"15060103"	"MAN_MADE"	0.8718323332	6.67916123	1018.85	3.72925535
