"site_id"	"resampled"	"type"	"stratified"	"deltaT"	"epithick"	"thermodepth"	"anoxiaV"	"hypoxiaV"	"schmidth_stability"	"month"	"year"	"lat"	"lon"	"X"	"Y"	"elevation"	"ECO9"	"lake_origin"	"area"	"volume"	"WALA_ratio"	"depth"	"SDI"	"forest"	"agric"	"precip"	"avgtemp"	"mintemp"	"maxtemp"	"chla"	"color"	"TN"	"TP"	"DOC"	"cond"	"turb"	"nutrient_color"
"NLA06608-0001-2007-1"	"NLA06608-0001"	"0"	"1"	1	5.86430587462985	5.60047418877454	6.50524419076927	0	0	0.76430690823475	"7"	"2007"	48.97902855	-114.0218399	1061396.32382399	2542739.09800537	"1605.73"	"WMT"	"natural"	0.662930555	1767814.81333333	5.66834648012264	8	1.10124666251397	41.9	0	50.7762933333333	11.942962962963	4.51444444444444	19.3477777777778	0.24	6	151	6	0.63	96.28	0.474	"blue"
"NLA06608-0002-2007-1"	"NLA06608-0002"	"1"	"6"	0	3.79627935222672	0	1.17715048417949	0	0	1.73398217406294	"6"	"2007"	33.03606404	-79.98379054	4444566.96011851	772191.408433194	"4.9"	"CPL"	"man-made"	0.144379981	91440.6546333333	15.8639450229599	1.9	1.29439254813372	59.9	0.3	67.10172	15.1977777777778	7.98481481481482	22.3777777777778	3.84	71	695	36	14.02	44.8	3.55	"murky"
"NLA06608-0002-2012-1"	"NLA06608-0002"	"1"	"6"	0	1.48803986710964	0	1.12661742593478	0	14795.874023167	1.18501837337522	"8"	"2012"	33.03614283	-79.984084	4444538.06386895	772200.146645994	"4.9"	"CPL"	"man-made"	0.1470694315	102948.60205	12.024929103878	2.1	1.28469781064931	58.880408	0	119.378306666667	22.8418518518519	16.5618518518519	29.1162962962963	36.24	73	779	44	14.09	42.3	1.47	"murky"
"NLA06608-0003-2007-1"	"NLA06608-0003"	"0"	"6"	0	0.301219512195118	0	0.742462171629907	0	0	0.228417138991775	"8"	"2007"	28.04774206	-97.85986605	2674045.08263494	219176.205518188	"17.6"	"CPL"	"natural"	0.057017366	38011.5773333333	84.8404643595777	2	1.4944619764889	10.3	44.1	109.243706666667	23.5588888888889	17.5811111111111	29.5248148148148	16.96	18	738	43	6	1089	7.67	"green"
"NLA06608-0004-2007-1"	"NLA06608-0004"	"1"	"2"	1	0.466450970253685	4.62492409580496	5.35	0	0	0.289801085718031	"7"	"2007"	37.41662013	-108.4045832	1622689.91406226	1258191.8143244	"2213"	"WMT"	"man-made"	0.653863092	1242339.8748	7.19211980541027	5.7	2.09705340648055	37	1.7	39.5156266666667	9.23185185185185	1.53222222222222	16.9422222222222	4.6	13	344	18	8	303.3	3.81	"blue"
"NLA06608-0004-2012-1"	"NLA06608-0004"	"1"	"4"	1	0.585053774469987	2.66774227294073	NA	0	0	0.324027309085868	"8"	"2012"	37.4167824	-108.4056506	1622583.32056679	1258209.82393636	"2213"	"WMT"	"man-made"	0.6538610038	850019.30494	7.09967412844982	3.9	2.09706248095471	36.991082	1.31834	30.80512	16.7540740740741	8.13777777777778	25.3814814814815	101.3	18	1079	114	9.66	246	34.47	"green"
"NLA06608-0005-2007-1"	"NLA06608-0005"	"0"	"5"	0	0	5.6	NA	0	0	0.0224992910000728	"7"	"2007"	43.92920926	-114.8403862	979556.734324101	1981400.39174141	"2138"	"WMT"	"natural"	0.194876125	363768.766666667	446.829403294016	5.6	1.25388062643619	46.6	0	32.9658133333333	9.99962962962963	2.51851851851852	17.48	1.205	7	85	4	1.45	52.62	0.475	"blue"
"NLA06608-0006-2007-1"	"NLA06608-0006"	"1"	"1"	1	18.4052870618518	3.2338822381145	4.5907175193269	0	0	422.89423804199	"7"	"2007"	41.68314624	-73.1465177	5115885.04197637	1731887.55730323	"198.75"	"NAP"	"man-made"	0.561997482	4495979.856	41.0738896691356	24	2.19642907171765	68.3	18.6	116.858626666667	10.8862962962963	4.6637037037037	17.0974074074074	4.08	2	184	7	3.16	74.74	0.901	"blue"
"NLA06608-0006-2012-1"	"NLA06608-0006"	"1"	"1"	1	18.7661182488721	2.69020242295276	4.75351442778181	0	354.125220226842	440.490375753339	"8"	"2012"	41.67757315	-73.14469782	5116063.17831008	1731268.57046565	"198.75"	"NAP"	"man-made"	0.5619967245	4308641.5545	41.0943705115497	23	2.19643444775016	68.847667	17.403842	87.6587866666667	16.3255555555556	10.3755555555556	22.2459259259259	2.324	18	205	19	2.53	110.8	0.67	"blue"
"NLA06608-0007-2007-1"	"NLA06608-0007"	"0"	"1"	1	19.9105477349604	3.21193499601486	4.70044604289066	0	837.373519722423	263.46954529057	"7"	"2007"	45.58064546	-92.04001797	3252446.45653698	2164919.52533378	"390.86"	"UMW"	"natural"	0.254747633	1570943.73683333	35.8287152956589	18.5	1.68956975492929	63.8	10.3	66.7495066666667	11.5203703703704	4.99592592592593	18.047037037037	2.432	10	493	8	6.68	26.65	1.05	"blue"
"NLA06608-0008-2007-1"	"NLA06608-0008"	"0"	"2"	1	1.36641728335744	1.6053895307846	3.52642460712323	0	41121.87429375	3.32050120502308	"7"	"2007"	41.29211104	-93.59040488	3098520.32759819	1688457.8797804	"261.56"	"TPL"	"man-made"	0.487370362	779792.5792	27.3361035441872	4.8	2.30784483121919	34.6	41.8	94.9028666666667	11.6551851851852	5.79296296296296	17.5240740740741	30.24	10	801	66	7.6	238.1	8.62	"green"
"NLA06608-0010-2007-1"	"NLA06608-0010"	"1"	"1"	1	14.4581195900002	4.56010644730355	8.33958554054463	0	39457.256139347	36.8788751772786	"7"	"2007"	42.61823014	-83.50588771	4097292.80436766	1835753.13594117	"284.65"	"UMW"	"natural"	0.300373324	1181468.40773333	9.76290138201487	11.8	1.2473882015211	20.8	3.2	61.7660266666667	9.85481481481481	3.40148148148148	16.2796296296296	4.384	4	473	10	4.94	650.1	3.05	"blue"
"NLA06608-0010-2012-1"	"NLA06608-0010"	"1"	"1"	1	15.5753609300793	2.01670504091356	6.32709905833252	0	31534.7036492016	42.0251772732924	"7"	"2012"	42.61885968	-83.50544419	4097336.59103848	1835823.06858618	"284.65"	"UMW"	"natural"	0.3003726716	1021267.08344	5.78581281267189	10.2	1.24738826732382	27.395132	0	69.66204	13.3492592592593	6.69222222222222	19.9937037037037	3.144	7	489	18	4.72	755	0.76	"blue"
"NLA06608-0012-2007-1"	"NLA06608-0012"	"1"	"5"	0	0	3.5	NA	0	0	0.133942203260623	"6"	"2007"	35.99078823	-96.87178731	2772353.78657972	1099964.23331632	"255.6"	"SPL"	"man-made"	1.776575126	2072670.98033333	46.8416693964227	3.5	2.85854289057465	13.4	17.8	105.04932	12.8851851851852	7.02148148148148	18.7488888888889	4.9	40	1026	159	8.01	219.5	50.3	"murky"
"NLA06608-0012-2012-1"	"NLA06608-0012"	"1"	"3"	1	0.942975393824099	0	0.25	0	0	0.358895626319316	"6"	"2012"	35.99293158	-96.87367696	2772165.81617279	1100202.05696701	"255.6"	"SPL"	"man-made"	1.77657303	1504165.1654	46.8497547416421	2.54	2.85854361385309	13.382353	17.757352	72.11568	15.3148148148148	8.63851851851852	21.9951851851852	8.68	214	1090	119	7.33	344	68.2	"murky"
