SITE_ID	YEAR	VISIT_NO	MONTH	DAY	SECMEAN_m	CLEAR_TO_BOTTOM
NLA06608-0001	2007	1	7	31	6.4	
NLA06608-0002	2007	1	6	14	0.55	
NLA06608-0002	2007	2	7	23	0.45	
NLA06608-0003	2007	1	8	29	0.71	
NLA06608-0003	2007	2	9	6	0.49	
NLA06608-0004	2007	1	7	10	1.8	
NLA06608-0004	2007	2	9	11	1	
NLA06608-0005	2007	1	7	18		Y
NLA06608-0005	2007	2	8	22		Y
NLA06608-0006	2007	1	7	17	3.21	
NLA06608-0006	2007	2	8	30	4.1	
NLA06608-0007	2007	1	7	24	3.15	
NLA06608-0007	2007	2	9	6	3.35	
NLA06608-0008	2007	1	7	12	0.79	
NLA06608-0008	2007	2	8	22	0.41	
NLA06608-0010	2007	1	7	17	4.48	
NLA06608-0010	2007	2	8	18	2.6	
NLA06608-0012	2007	1	6	13	0.31	
NLA06608-0012	2007	2	9	18	0.27	
NLA06608-0013	2007	1	9	4	0.65	
NLA06608-0013	2007	2	9	14	1.05	
NLA06608-0014	2007	1	8	6	0.85	
NLA06608-0014	2007	2	8	23	0.63	
NLA06608-0015	2007	1	7	10	0.37	
NLA06608-0015	2007	2	8	29	0.38	
NLA06608-0016	2007	1	6	27	0.54	
NLA06608-0016	2007	2	7	11	0.5	
NLA06608-0019	2007	1	6	11	0.35	
NLA06608-0019	2007	2	8	7	0.55	
NLA06608-0020	2007	1	6	11	0.69	
NLA06608-0020	2007	2	7	2	1.07	
NLA06608-0021	2007	1	7	27	7.1	
NLA06608-0021	2007	2	8	30	4.75	
NLA06608-0023	2007	1	8	9	0.95	
NLA06608-0023	2007	2	9	19	1.3	
NLA06608-0024	2007	1	7	11	0.9	
NLA06608-0024	2007	2	8	14	1.08	
NLA06608-0025	2007	1	6	18	3.55	
NLA06608-0025	2007	2	7	18	3.45	
NLA06608-0029	2007	1	7	2	0.27	
NLA06608-0029	2007	2	9	11	0.25	
NLA06608-0031	2007	1	6	13	0.98	
NLA06608-0031	2007	2	9	5	0.9	
NLA06608-0033	2007	1	7	17	0.7	
NLA06608-0033	2007	2	8	28	0.95	
NLA06608-0036	2007	1	7	12	2.23	
NLA06608-0036	2007	2	7	16	2.67	
NLA06608-0037	2007	1	7	13	2.9	
NLA06608-0037	2007	2	9	5	4.1	
NLA06608-0038	2007	1	7	12	4.45	
NLA06608-0038	2007	2	8	27	5.95	
NLA06608-0041	2007	1	6	12	9.48	
NLA06608-0041	2007	2	7	11	7.15	
NLA06608-0042	2007	1	6	22	3.38	
NLA06608-0042	2007	2	7	6	4.8	
NLA06608-0043	2007	1	7	31	1.85	
NLA06608-0043	2007	2	8	15	1.45	
NLA06608-0044	2007	1	7	18	0.12	
NLA06608-0044	2007	2	7	30	0.1	
NLA06608-0045	2007	1	6	26	0.86	
NLA06608-0045	2007	2	8	2	0.96	
NLA06608-0048	2007	1	8	2	0.28	
NLA06608-0048	2007	2	9	18	0.48	
NLA06608-0049	2007	1	8	15	2.53	
NLA06608-0050	2007	1	7	2	1.5	
NLA06608-0050	2007	2	8	30	1.1	
NLA06608-0053	2007	1	8	23	0.85	
NLA06608-0053	2007	2	9	27	1.05	
NLA06608-0057	2007	1	6	16	0.5	
NLA06608-0057	2007	2	7	14	0.35	
