"sampling_event"	"site_id"	"visit_no"	"depth"	"year"	"month"	"day"	"temp"	"DO"	"PH"	"cond"	"layer_nla"	"resampled"
"1"	"NLA06608-0001-2007-1"	"NLA06608-0001"	"1"	0	2007	7	31	16.3	8.3	8.1	150	"E"	0
"2"	"NLA06608-0001-2007-1"	"NLA06608-0001"	"1"	1	2007	7	31	16.3	8.2	8.2	153	"E"	0
"3"	"NLA06608-0001-2007-1"	"NLA06608-0001"	"1"	2	2007	7	31	16.3	8.2	8.2	153	"E"	0
"4"	"NLA06608-0001-2007-1"	"NLA06608-0001"	"1"	3	2007	7	31	16.3	8.2	8.2	153	"E"	0
"5"	"NLA06608-0001-2007-1"	"NLA06608-0001"	"1"	4	2007	7	31	16.3	8.2	8.2	153	"E"	0
"6"	"NLA06608-0001-2007-1"	"NLA06608-0001"	"1"	5	2007	7	31	16.3	8.2	8.2	153	"E"	0
"7"	"NLA06608-0001-2007-1"	"NLA06608-0001"	"1"	6	2007	7	31	16.1	8.6	8.2	153	"E"	0
"8"	"NLA06608-0001-2007-1"	"NLA06608-0001"	"1"	7	2007	7	31	10.7	10.8	8.4	144	"E"	0
"9"	"NLA06608-0001-2007-1"	"NLA06608-0001"	"1"	8	2007	7	31	10.2	11	8.4	143	"E"	0
"10"	"NLA06608-0002-2007-1"	"NLA06608-0002"	"1"	0	2007	6	14	29.19	NA	5.5	52.9	"E"	1
"11"	"NLA06608-0002-2007-1"	"NLA06608-0002"	"1"	0.5	2007	6	14	24	NA	5.3	46.7	"E"	1
"12"	"NLA06608-0002-2007-1"	"NLA06608-0002"	"1"	1	2007	6	14	21.9	NA	5.5	62	"E"	1
"13"	"NLA06608-0002-2007-1"	"NLA06608-0002"	"1"	1.5	2007	6	14	18.8	NA	5.6	72.3	"E"	1
"14"	"NLA06608-0002-2007-1"	"NLA06608-0002"	"1"	1.9	2007	6	14	17.2	NA	5.7	76.8	"E"	1
"15"	"NLA06608-0002-2007-2"	"NLA06608-0002"	"2"	0	2007	7	23	25.6	NA	5.1	43.5	"E"	1
"16"	"NLA06608-0002-2007-2"	"NLA06608-0002"	"2"	0.5	2007	7	23	25	NA	5.1	42.9	"E"	1
"17"	"NLA06608-0002-2007-2"	"NLA06608-0002"	"2"	0.8	2007	7	23	23.9	NA	5	51.7	"E"	1
"18"	"NLA06608-0002-2012-1"	"NLA06608-0002"	"1"	0	2012	8	14	28.15	3.65	5.35	47	"E"	1
"19"	"NLA06608-0002-2012-1"	"NLA06608-0002"	"1"	0.5	2012	8	14	26.9	2.6	5.2	47	"E"	1
"20"	"NLA06608-0002-2012-1"	"NLA06608-0002"	"1"	1	2012	8	14	24.9	0.9	5.1	67	"E"	1
"21"	"NLA06608-0002-2012-1"	"NLA06608-0002"	"1"	1.5	2012	8	14	22.6	0.6	5.2	101	"E"	1
"22"	"NLA06608-0002-2012-1"	"NLA06608-0002"	"1"	2	2012	8	14	20.5	0.4	5.2	120	"E"	1
"23"	"NLA06608-0002-2012-1"	"NLA06608-0002"	"1"	2.1	2012	8	14	20.2	0.4	5.2	125	"E"	1
"24"	"NLA06608-0003-2007-1"	"NLA06608-0003"	"1"	0	2007	8	29	30.6	8.3	8.4	1132	"E"	0
"25"	"NLA06608-0003-2007-1"	"NLA06608-0003"	"1"	0.5	2007	8	29	30.3	8.2	8.4	1134	"E"	0
"26"	"NLA06608-0003-2007-1"	"NLA06608-0003"	"1"	1	2007	8	29	29.9	7.8	8.4	1128	"E"	0
"27"	"NLA06608-0003-2007-1"	"NLA06608-0003"	"1"	1.5	2007	8	29	29.6	5.7	8.2	1120	"E"	0
"28"	"NLA06608-0003-2007-1"	"NLA06608-0003"	"1"	2	2007	8	29	29.4	4	8	1144	"M"	0
